,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","1 actual vapour flow, m3/h","1 mass flow, kg/h"
457298,6.0,4835.0,8374.0,9.773413417383455,68.36264666910992,0.3551458596339526,0.0560541030618828,0.1002245469704408,0.1301463124060558,0.3250694587813881,0.0168931302782241,0.0164665888680555,2973.991428574719,469.39705904020656,839.2803563304712,1089.8452200883112,2722.1316478353438,141.4630729498486,137.89121518109675,68.36264666910992,3458.0511638916973
404089,5.0,3924.0,21859.0,11.616568466053996,379.0462482921723,0.4937402185462529,0.1216003266296799,0.0605573224166448,0.2127182701122872,0.0966270471905715,0.0045849135525532,0.0101719015520101,10792.667437202543,2658.061539798173,1323.7225107054387,4649.808666384486,2112.170624538702,100.22162534526039,222.34759602538878,379.0462482921723,15943.26819841735
291916,-1.0,3660.0,18021.0,12.950200333741986,288.978492671382,0.438962626558686,0.1570796298258808,0.0503699020895504,0.0910748456720089,0.2497853603248225,0.0070252440426576,0.0057023914863936,7910.54549321408,2830.732009092198,907.7160055557878,1641.2597938552724,4501.381978413626,126.6019228927326,102.76279697629907,288.978492671382,11273.85486729428
477268,9.0,4256.0,16306.0,9.900317638105868,237.3626878542627,0.4279575516164872,0.1998082292585281,0.0772230918008864,0.0766155968596702,0.1999930439488433,0.0090722989655316,0.0093301875500528,6978.27583665844,3258.072986289559,1259.1997349052538,1249.2939223937824,3261.0865746298387,147.93290693195829,152.13803819116097,237.3626878542627,11419.62300861828
237537,-6.0,3822.0,29649.0,9.375216472464588,581.3941168345124,0.5467829884960479,0.2158416703972768,0.0735169640826062,0.049110952477507,0.0821546906049059,0.021970135435323,0.010622598506333,16211.568825919325,6399.48968560886,2179.7044680851914,1456.090630005605,2435.804421744855,651.3925455218916,314.9494231142671,581.3941168345124,24844.251377664707
260512,6.0,3574.0,11449.0,10.761333823156791,150.51038215948958,0.3343807690809903,0.1640729526422104,0.1027379787484264,0.2015695045673232,0.1858867980893209,0.0075271560534921,0.0038248408182364,3828.325425208258,1878.4712348006667,1176.247118690734,2307.7692577912835,2128.217951324635,86.17840965643104,43.79060252798855,150.51038215948958,6009.252390071108
106525,-18.0,4656.0,10704.0,7.385159250518827,135.5410493570699,0.5647498531257426,0.0855919916160412,0.0444337989069653,0.2505964019996165,0.0395900310761268,0.0103729415605209,0.0046649817149866,6045.0824278579485,916.176678258105,475.6193835001566,2682.3838870038953,423.7716926388612,111.03196646381572,49.93396427721657,135.5410493570699,6972.827103817516
299631,-21.0,4039.0,18915.0,20.36094571790301,188.6678736001421,0.404194594115813,0.159072229415139,0.1001333885617421,0.2237338018807504,0.0944971894493307,0.005383717696628,0.0129850788805965,7645.340747700603,3008.851219387354,1894.0230446453518,4231.924862574394,1787.4143384340903,101.83302023171862,245.6127670264828,188.6678736001421,8684.621037506136
228192,-18.0,4321.0,22690.0,12.687149483863395,322.99437508631786,0.5368723207447936,0.2134325417014109,0.069919524865013,0.0801426539281118,0.0830926560097216,0.0060196708893529,0.0105206318615961,12181.632957699367,4842.7843712050135,1586.4740191871451,1818.436817628857,1885.372364860583,136.5863324794173,238.71313693961554,322.9943750863178,16496.29585415932
538960,-17.0,4367.0,16230.000000000002,19.191874817860217,134.29036814792178,0.3845178197885169,0.0694986680946512,0.0874002100043974,0.1825518891761134,0.2619641957208097,0.009347220523602,0.004719996691909,6240.72421516763,1127.9633831761892,1418.50540837137,2962.8171613283207,4251.678896548742,151.7053890980605,76.60554630968308,134.29036814792178,6268.3742040662255
136242,-20.0,3672.0,27378.0,26.437822378198607,337.8602540518901,0.4220248143642489,0.1418369280470751,0.0492101818467594,0.2075421648536432,0.1594279642766898,0.011541664867375,0.0084162817442085,11554.195367664406,3883.211416072822,1347.2763586005788,5682.089389363044,4364.818805967213,315.98770073899277,230.4209615929403,337.8602540518901,13512.664908755089
404144,9.0,4769.0,16008.999999999998,5.142275612976916,257.6842162058231,0.5499789546968663,0.1641050862425616,0.0307638361350955,0.1060813934345456,0.1301667898185629,0.0112569394616167,0.0076470002107513,8804.613085742132,2627.1583256571685,492.4982526867438,1698.2570274936404,2083.840138205373,180.21234384102172,122.42082637391755,257.6842162058231,13466.877143572725
