,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h"
84193,0.0,4192.0,5929.0,0.4032240818943294,0.1350319454137388,0.0293742132173595,0.1813694432051653,0.2348093824040145,0.004888728462895,0.0113022054024973,2390.715581551479,800.6044043580574,174.15971016572448,1075.339428763425,1392.184828273402,28.985271056504455,67.01077583140649,5.434585997412913,70.2527752532052
242278,9.0,3938.0,13119.0,0.4384151120763985,0.1306275055967106,0.0528938033569242,0.1411285501525782,0.2196262365674878,0.0112891621329326,0.0060196301169677,5751.567855330271,1713.7022459232464,693.9138062394886,1851.4654494516733,2881.2765975288726,148.10251802194279,78.97152750449926,8.864279147990429,204.80962747067625
466952,-19.0,4224.0,8878.0,0.4556713748430556,0.0496109573821828,0.0618431440015186,0.2300764072568099,0.1872879274027939,0.0076779759831082,0.0078322131305306,4045.4504658566475,440.44607963901893,549.0434324454822,2042.6183436259582,1662.7422194820042,68.1650707780346,69.53438817285067,8.854875911817787,94.8062854992784
266192,-24.0,3584.0,24975.0,0.5027336982173298,0.0685541456726484,0.0781769617618908,0.144981330877578,0.1967234288635904,0.0030307858914718,0.0057996487154906,12555.774112977813,1712.139788174394,1952.4696200032229,3620.9087386675105,4913.16763586817,75.6938776395082,144.84622666937773,20.71279912751765,367.7046983853512
251757,1.0,4691.0,13406.0,0.5482590069144665,0.1133519155672363,0.080572416533955,0.1476531889139915,0.096966255357747,0.0090651721986479,0.0041320445139553,7349.960246695337,1519.5957800943697,1080.1538160542007,1979.4386505809703,1299.9296193259563,121.52769849507375,55.39418875408475,6.385789491651359,199.38480370796137
94378,0.0,4877.0,22011.0,0.326773544219972,0.1920260538883776,0.0457325697966685,0.1378371471233279,0.2795207495053975,0.0121426881576893,0.0059672473085669,7192.612481825804,4226.685472137079,1006.6195937944705,3033.9334453315705,6152.531217363305,267.27270903889917,131.34508050886603,26.85795773486165,160.98925035157532
226695,-11.0,4154.0,17242.0,0.5768097007284877,0.025198512828902,0.0903591863137574,0.0949536949159782,0.194990486681956,0.0055924800262725,0.0120959385046459,9945.352859960585,434.47275819592824,1557.9730904218052,1637.1916077412961,3362.0259713702853,96.42554061299045,208.5581716971046,10.920409962998429,271.68902943915725
36744,3.0,3968.0,19577.0,0.5272770282276105,0.1745217524073321,0.0531104859984496,0.1952584748695923,0.0324685269765105,0.0060442692625838,0.0113194622579209,10322.50238161193,3416.6123468783403,1039.7439843916477,3822.5751625220087,635.6363526191461,118.32865935360304,221.60111262331748,6.591903998496695,369.562218201631
509586,4.0,4413.0,29268.000000000004,0.4426635564815941,0.0948165615369263,0.0938155272271073,0.1167796348749096,0.2368937229749206,0.0071336561707318,0.0078973407338099,12955.876971103298,2775.0911230627594,2745.792850882977,3417.9063535188543,6933.405484029977,208.78784880497835,231.13936859714815,23.6846209047164,368.67202904490847
567515,-11.0,4796.0,11559.0,0.3731529631105902,0.1954041032673513,0.1082185085363226,0.2086238754126165,0.1027466607299316,0.0077914414610327,0.0040624474821547,4313.275100595312,2258.6760296673137,1250.897740171353,2411.483375894434,1187.6486513772795,90.06127184807698,46.957830446226176,13.586786338270104,89.85385606097798
359541,-11.0,4892.0,11346.0,0.4932780218841357,0.1585683666616216,0.0843861067143524,0.2120875908560995,0.0359065843150584,0.0125021804647563,0.0032711491039758,5596.732436297404,1799.1166881427587,957.4447667810423,2406.3458058533047,407.3961056386526,141.84973955312498,37.11445773370942,8.677981354883537,125.7363031569831
91523,-24.0,4075.0,19495.0,0.5188185348946259,0.2241382652062609,0.0350872419772833,0.0971842752829348,0.0875620712657371,0.0196977326158917,0.0175118787572661,10114.367337770733,4369.575480196057,684.0257823471379,1894.607446640814,1707.022579325545,384.00729734680874,341.3940763729026,12.995306104973013,270.4981330318865
228904,-10.0,3771.0,27254.0,0.3428484707316456,0.130184810659877,0.0838978218698386,0.206682641352006,0.2260330647150788,0.0060304846888253,0.0043227059827283,9343.99222132027,3548.0568297242876,2286.551237240581,5632.928707407572,6160.305145744758,164.3548297092447,117.8110288532771,31.13735735061692,273.7900231126821
176842,5.0,3818.0,22685.0,0.5232518105136833,0.1846506877410073,0.1292440990042404,0.0718773063279078,0.066721003988337,0.0152907569248544,0.0089643354999698,11869.967321502905,4188.800851404751,2931.902385911193,1630.5366940485885,1513.5659754754247,346.8708208403221,203.35595081681493,5.378896324633377,465.284705741634
244818,-25.0,4105.0,8225.0,0.4319951111879481,0.0713626167387765,0.0752152977371951,0.1392655991329089,0.2638179075789661,0.0068016302710094,0.0115418373531955,3553.159789520873,586.9575226764367,618.6458238884296,1145.4595528681757,2169.9022898369963,55.943408979052315,94.93161223003298,8.812078468690038,80.55988230563763
504361,-13.0,3869.0,16474.0,0.6031472776865751,0.0681392671112185,0.1623674902119023,0.0943170234052778,0.0308493526986488,0.0244657569451348,0.0167138319412423,9936.248252608637,1122.5262863902135,2674.8420337508787,1553.7786435785465,508.2122363575403,403.0488799141507,275.34366740002565,7.211263819136026,307.23097421100425
237197,-14.0,4525.0,13592.0,0.5238517952090498,0.1555068905308836,0.0443029968673273,0.1184931396862156,0.1454315336731719,0.0081713547960517,0.0042422892372994,7120.193600481404,2113.64965609577,602.1663334207126,1610.5587546150423,1976.7054056857526,111.06505438793472,57.66119531337345,9.206695761262887,176.4328866716374
146665,-16.0,4019.0,22347.0,0.468295442461856,0.1702851172341493,0.0722836576403493,0.1489516068995807,0.1285340985781996,0.0077206667420122,0.0039294104438527,10464.998252695095,3805.3615148315344,1615.3228972888858,3328.62155938493,2872.351500927027,172.53373968374663,87.81053518877629,17.8285819668943,294.72812183973923
261128,-3.0,3539.0,12903.0,0.4977144220579425,0.178331908309124,0.0446413848660434,0.1407035784185722,0.1190076245619246,0.0133037516160109,0.0062973301703823,6422.009187813632,2301.016612912627,576.0077889265581,1815.498272334837,1535.5553797225132,171.65830710138863,81.25445118844281,6.403714263091572,250.1480315119948
166449,-11.0,4115.0,26749.0,0.5134684443324153,0.0591844899802905,0.0413968812015851,0.1669610089365389,0.199221512004957,0.0138291633422445,0.0059385002019684,13734.767417447778,1583.1259224827907,1107.3251752611998,4466.040028043479,5328.976224620595,369.91629024169816,158.84894190245274,20.58046738886435,375.8480701218772
412170,6.0,3796.0,26056.0,0.6061998618664177,0.0691138465366013,0.0357431964738219,0.117959544914057,0.1558616476616673,0.0072698250149756,0.007852077532459,15795.14360079138,1800.8303853576833,931.3247273219035,3073.5539022806693,4061.131091472403,189.42256059020426,204.5937321857517,8.24958746394904,570.6556980474346
232059,-12.0,4077.0,27200.0,0.4393011992592159,0.031973154768071,0.0892427633819411,0.2405332409192968,0.1823518147661893,0.0097354572614132,0.0068623696438723,11948.992619850673,869.6698096915312,2427.403163988798,6542.504153004873,4959.969361640349,264.804437510439,186.65645431332658,26.99878276092136,310.24859574512385
527784,-5.0,4708.0,18479.0,0.523233060101269,0.1164571935637641,0.0740263174987067,0.0274380014082139,0.2449641976549959,0.0088762436894252,0.0050049860836249,9668.82371761135,2152.012479864797,1367.932321058601,507.0268280223847,4526.693408466669,164.02410713688826,92.48713783930452,12.10477666801532,243.00620909403395
517984,-15.0,4278.0,8372.0,0.4802610323770043,0.0880879433748821,0.093859373632704,0.11792038867229,0.2045191410543694,0.0094627302094624,0.0058893906792875,4020.74536306028,737.472261934513,785.7906760529978,987.2294939644119,1712.2342489071807,79.2219773136192,49.30597876699495,7.269049537230782,100.42321410820676
392577,8.0,4733.0,7099.0,0.4453691603304859,0.1749804799977433,0.0479726009938356,0.0765513856032162,0.2416575922138077,0.0079534008645536,0.0055153799963572,3161.6756691861196,1242.1864275039798,340.55749445523895,543.4382863972318,1715.5272471258208,56.46119273746601,39.15368259413976,4.825737447256245,89.79360882780774
543711,2.0,3949.0,9479.0,0.5506407266935199,0.0249118194061664,0.091079905199543,0.1259493120669992,0.1894818437570302,0.0124534104813318,0.0054829823954092,5219.5234483278755,236.1391361510513,863.346421386468,1193.8735290830853,1796.0983969728893,118.04587795254413,51.97319012608381,5.400268937163136,168.11479071543025
28401,-6.0,4207.0,22804.0,0.4220009473663922,0.1380599448911106,0.0501848682344959,0.1556100438905907,0.2256910432306604,0.0053782752180026,0.0030748771687472,9623.309603743208,3148.318983296886,1144.4157352194445,3548.53144088103,5146.658549831979,122.6461880713313,70.11949895611114,20.72428693824256,268.43291001670326
