,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"1 mass flow, kg/h"
162733,23.0,4229.0,2900.0,0.601604676693181,0.1067490343652015,0.1354975252145643,0.1251956466008859,0.0154245184278279,0.0072508730087987,0.0082777256895404,2900.0
335091,17.0,3846.0,12446.0,0.7539363649469567,0.0599810665097285,0.082326970326533,0.0451223327879241,0.0317519562571053,0.0048456037506226,0.0220357054211296,12446.0
90683,24.0,4563.0,11003.0,0.6202447322267749,0.1707173696858818,0.1104309200806038,0.0523758318859535,0.0218040148157535,0.0174010293039462,0.0070261020010861,11003.0
325293,-14.0,4074.0,24396.0,0.6635018665008243,0.1242748111309342,0.1028101102316171,0.0614626966188001,0.0150897137828641,0.0262744179438489,0.006586383791111,21766.43338044557
132862,21.0,4781.0,7881.999999999999,0.5714246308672598,0.094589034811443,0.1215967285087109,0.1620264891631208,0.0194976190639596,0.0124327778986282,0.0184327196868773,7572.8764172311485
28984,-2.0,4408.0,6221.0,0.5888663731170297,0.1015289549493798,0.1799548831151059,0.0794749019577526,0.0060305963726032,0.0180673355494393,0.0260769549386895,5288.638331882103
548077,15.0,4113.0,11729.0,0.6957117322934145,0.0418555898162978,0.1088961635702182,0.0867415821110193,0.0388733259172986,0.0204327556286257,0.0074888506631256,11729.0
134536,13.0,4102.0,5200.0,0.7081635417343667,0.1075818297814004,0.0340748014152654,0.0861061447865065,0.0324817988455013,0.0236646158107388,0.0079272676262206,5200.0
262683,36.0,4120.0,21014.0,0.6143529490562433,0.1216868662746328,0.1095827798455715,0.0867279768328722,0.0258332280695395,0.0181585318102219,0.0236576681109186,21014.0
166022,16.0,4427.0,18225.0,0.6394806235680556,0.0960941186329732,0.1462719157888839,0.0865038939650088,0.0048993094609282,0.0195448230219841,0.0072053155621659,18225.0
214835,46.0,4806.0,5304.0,0.6058997411220888,0.0551407819099691,0.1576270081770411,0.1174556120989011,0.031383745241145,0.0123296649013869,0.020163446549468,5304.000000000001
258595,25.0,4504.0,8515.0,0.6165064575625012,0.0998761486039191,0.115989510814006,0.1268243879628162,0.0142049437287991,0.0132294593530143,0.013369091974944,8515.0
160157,23.0,3544.0,18517.0,0.6991413539807938,0.1238069357658341,0.0544118378777319,0.0684969703992744,0.0273786796472534,0.0094919445276554,0.0172722778014569,18517.0
44367,16.0,4549.0,5913.0,0.6820930510623883,0.0449652298978594,0.0550772026021841,0.1682392532656586,0.0074825808271859,0.0257929776722925,0.0163497046724309,5793.015399573624
169354,-12.0,4342.0,23696.0,0.617705515485761,0.1099279352554337,0.1369389233722011,0.0942633001643535,0.0084910387582666,0.0105329920074224,0.0221402949565613,19611.87365838973
171431,50.0,4065.0,9608.0,0.7460687690683856,0.0207434549135063,0.1237438327817953,0.0731223590854659,0.0095156011243796,0.0160709789587274,0.0107350040677396,9608.0
225962,42.0,3821.0,13343.0,0.571540423748154,0.1294786287517767,0.1764649904410534,0.0650648739956228,0.0298644379701446,0.0079033684202567,0.0196832766729916,13343.0
529873,17.0,3596.0,10886.0,0.76822386618029,0.0734185359910176,0.0475595122887732,0.0732804646973092,0.0196609204422682,0.0074948409341091,0.0103618594662321,10886.0
206088,-5.0,4276.0,15904.999999999998,0.7029333804015176,0.036499095368372,0.1638595463222689,0.0515721651778686,0.014000569540378,0.025019114866268,0.0061161283233268,14876.840196799496
402375,32.0,3521.0,6675.0,0.6327965827126717,0.0577341868335477,0.1470733912298454,0.129527325756596,0.0137215009200087,0.0113062990703276,0.0078407134770028,6674.999999999999
561857,24.0,4087.0,13789.0,0.6132587083127207,0.1395347019678544,0.0546007988568264,0.1299061412954714,0.0329798217831402,0.0177163223622501,0.0120035054217364,13789.0
191232,-8.0,4032.0,11061.0,0.6969138504616186,0.0985525690089046,0.1056139279765796,0.0488845146818473,0.0166162310469084,0.0194762729159643,0.0139426339081767,10404.565984363006
143108,20.0,4130.0,4517.0,0.6917728472586576,0.0881938366186198,0.0963914748835851,0.0762845409727656,0.0187957189170008,0.0151875658367301,0.0133740155126408,4517.0
506959,-14.0,3900.0,7506.0,0.7468431790392543,0.108803879880789,0.0409931829195699,0.0551478273897437,0.0180122166091668,0.0112858976368248,0.0189138165246514,7135.619708001059
248535,-21.0,4324.0,14621.0,0.6690788870154583,0.1270397136302743,0.0299105882430707,0.1200474769398748,0.0275152507630882,0.0125086141207412,0.0138994692874922,12144.412736657729
333450,20.0,3515.0,14989.0,0.5991022028365349,0.1298646727737397,0.0719737291763747,0.140930109890329,0.0215285640211186,0.0206882454907704,0.0159124758111324,14989.0
104628,27.0,4873.0,16245.0,0.7216364640643851,0.067086404224116,0.0681945065667072,0.095302803494627,0.0076854892657241,0.0176046184257978,0.0224897139586426,16245.0
312704,20.0,3652.0,14428.000000000002,0.788954736602084,0.0248384354437417,0.0876591298141089,0.0480531089934957,0.0156368749705363,0.0189570766446249,0.0159006375314083,14428.000000000002
564716,-2.0,4014.0,17227.0,0.6794514883976681,0.1195930009153613,0.0467958207333257,0.0931403386580317,0.0301552016348155,0.0112400741442668,0.0196240755165307,16186.515474026146
239708,11.0,3991.0,9918.0,0.6122862093418737,0.1042682741686196,0.1250136047234483,0.1074029988362488,0.0230569847702778,0.0159749491455349,0.0119969790139964,9638.881851933487
367938,24.0,3618.0,16181.0,0.6714026145909042,0.1490198459773344,0.074842023537023,0.0544055851773103,0.0330545157663286,0.0089305957541987,0.0083448191969005,16181.0
506627,20.0,4706.0,13119.0,0.7066156417811199,0.1228411632543383,0.068835814972603,0.0393421001716407,0.0338034221555761,0.0071456989523616,0.0214161587123601,13119.000000000002
196054,32.0,4100.0,24193.0,0.7110587535912949,0.0724891808559342,0.0878423372376775,0.0742291607201629,0.0328878896551145,0.011374162102807,0.0101185158370087,24193.0
65814,-19.0,4539.0,14592.000000000002,0.7462415528881107,0.0473654884255351,0.0468254681184821,0.1060754715791639,0.0278699169998942,0.0147867258201412,0.0108353761686727,12746.818767932971
591017,38.0,3812.0,3833.0,0.6607655811798259,0.131574645368137,0.1269794999687147,0.0482714567655148,0.0052447396311353,0.0096345762024754,0.0175295008841968,3833.0
189206,3.0,3540.0,11488.0,0.5273985022649043,0.1259641623316553,0.1536738409726442,0.1525368296314961,0.0157445014611108,0.0188715736862373,0.0058105896519519,9711.364091663652
405596,32.0,4106.0,10712.0,0.6280429782099768,0.0569344453857471,0.1078822315919807,0.1278980226996129,0.0434650870911404,0.0173495172924132,0.0184277177291285,10712.0
572147,19.0,3953.0,9948.0,0.5656547069790121,0.0312863744581881,0.1950521837986826,0.1597888721302036,0.0113554924725797,0.0139898914336014,0.0228724787277323,9248.340337834108
545050,-16.0,3862.0,9573.0,0.6118935803699006,0.1122841075800745,0.1214556622454623,0.111881156803894,0.0164854175747563,0.0150341193994765,0.0109659560264357,7704.098998425351
253956,-9.0,4048.0,8028.0,0.6904679297487516,0.089777922974357,0.1507174632313064,0.0440975481706573,0.0081156191840251,0.0085118929156929,0.0083116237752095,7725.160808111263
221609,18.0,4274.0,7532.999999999999,0.6113600096347562,0.0936495342504292,0.1126265968608222,0.1286224155864307,0.0245458418502865,0.0110210184932183,0.0181745833240566,7488.566107119489
463925,14.0,3542.0,9374.0,0.5881721141062708,0.1636914119141191,0.0924020361697206,0.1212361843943079,0.0073510508496205,0.0062548008433115,0.0208924017226496,9374.0
341824,31.0,3655.0,1252.0,0.6534469003015064,0.1268873922407049,0.0989865850400665,0.068468825708371,0.0234801034784158,0.022779985506203,0.0059502077247319,1252.0
11233,-13.0,3736.0,23263.0,0.7009686675786806,0.05611465492872,0.0936902428940847,0.1029556157597607,0.0105576755117039,0.0159785521093743,0.0197345912176756,20498.277455537864
464334,-25.0,3663.0,14033.0,0.7391127276149305,0.0555959102321625,0.1067838428027421,0.0575120171433084,0.0073744817520074,0.0184182066210693,0.0152028138337795,12410.824448330675
599464,4.0,4811.0,1561.0,0.659000972954289,0.1294368854675528,0.0775553635982372,0.07478873795829,0.0275972681135556,0.0179394016691683,0.0136813702389069,1501.621429383342
515890,21.0,4807.0,22059.0,0.7460413680419001,0.0830828459903723,0.0666824567773973,0.0840934629389415,0.0053062737721995,0.0053430457077877,0.0094505467714014,22059.000000000004
310608,-16.0,3926.0,6966.0,0.6685631181388199,0.0611818223543672,0.1603527710417703,0.054188497643149,0.019815233867365,0.0212424073080545,0.0146561496464738,5915.837329494277
468491,20.0,3516.0,18801.0,0.5985577142074211,0.1380039561883759,0.0529564779119648,0.1671669405394995,0.0163152735758538,0.012238320775435,0.0147613168014494,18801.0
325755,27.0,4126.0,7214.000000000001,0.6109107193775781,0.1187038259203637,0.0978707867424817,0.1191370648621211,0.0317460341684023,0.0167879933547345,0.0048435755743183,7214.000000000001
40971,49.0,4060.0,1967.0,0.7817844968004869,0.1009886810654175,0.0496414221586894,0.0400976558238371,0.0064900082250994,0.0089884094567751,0.0120093264696943,1967.0
11946,1.0,3756.0,11389.0,0.6586959324939249,0.1832861998026255,0.0382840912377481,0.0582428281637764,0.043194479860005,0.0112175428788942,0.0070789255630256,11356.744233205722
293521,-23.0,3512.0,24910.0,0.7117461652516808,0.0471292512981692,0.1231499454454951,0.0661854143639264,0.0265221506137396,0.0171874300537253,0.0080796429732632,21366.85141434581
498637,16.0,4724.0,2171.0,0.6081963892465585,0.0811930662466209,0.104189308644392,0.1287724312256938,0.0392519460278069,0.0222654852538166,0.0161313733551112,2035.079103008564
213907,19.0,4398.0,22121.0,0.7484418043418719,0.0661501469470453,0.0428879408934626,0.0934281998477342,0.0275667715506416,0.0130633381292779,0.0084617982899662,22121.0
584035,-17.0,4782.0,5491.0,0.7067560015569508,0.0316390885234461,0.0676636047151706,0.1493915469715792,0.0148928482528372,0.0172318123737085,0.0124250976063074,4507.471855622945
369538,7.0,4181.0,16457.0,0.8147836223559121,0.0201194481552384,0.0293815391986808,0.0955187352159961,0.0059015329773573,0.0152930580006262,0.0190020640961887,16457.0
473368,20.0,4164.0,11563.0,0.5910301997861286,0.0443386078105121,0.1754863517561387,0.1429086835069433,0.0265142657552988,0.0070930945558984,0.0126287968290799,11439.986026913886
444804,21.0,3646.0,20144.0,0.591443314081096,0.166806442836848,0.0787704694482986,0.099533818819587,0.0362670616748986,0.013581163375386,0.0135977297638856,20144.0
528989,26.0,4038.0,18638.0,0.5973217088236134,0.0933057456104062,0.1391069904377711,0.12583049683188,0.0202911273583167,0.0105055490347559,0.0136383819032564,18638.0
321530,1.0,3928.0,7569.0,0.5865734652805609,0.0749330021235312,0.1068745576900315,0.1584606548868271,0.0377950605445403,0.0136230626040769,0.0217401968704318,6195.488087241121
515844,23.0,3638.0,9322.0,0.6536110040855259,0.103603484193104,0.1161435322812216,0.0803787198864268,0.0125314002457946,0.0253405466413434,0.0083913126665837,9322.0
264594,-14.0,4245.0,15746.0,0.6159795688861425,0.0885890925577778,0.1343271173386563,0.1232231693414094,0.011958122299676,0.0106341676868784,0.0152887618894595,12498.7712495315
145835,2.0,3988.0,24333.0,0.711990054397401,0.0993380035428043,0.1024750257638198,0.0423488172873294,0.0129349884721486,0.0166839370747621,0.0142291734617347,24333.0
492717,10.0,3610.0,22091.0,0.6637161518883933,0.054857456637487,0.1302965817921733,0.115228974265178,0.0136569813086442,0.012212674483143,0.010031179624981,22091.0
280217,35.0,3545.0,17663.0,0.6763117565419496,0.0808029325018603,0.1236531522625373,0.0715091098799237,0.023160172648246,0.0111348346129575,0.0134280415525252,17663.0
447914,43.0,4398.0,4407.0,0.6956390598516398,0.1276752642665269,0.059638037346091,0.0567568216679871,0.030284836707549,0.0179532543803513,0.0120527257798545,4407.0
524650,3.0,3517.0,16534.0,0.6767103544525782,0.0548489747089151,0.1111155838525942,0.118941915447714,0.0081438633682012,0.0117575345406632,0.018481773629334,15823.366240735071
463876,-9.0,3733.0,22107.0,0.6408376124637191,0.1057765207872916,0.1097493725222256,0.0906745503249338,0.0299437855767239,0.017006010616736,0.0060121477083698,19515.28526511672
