,"4 temperature, C","4 pressure, kPa","4 mass flow, kg/h",4 Methane mass frac,4 Ethane mass frac,4 Propane mass frac,4 i-Butane mass frac,4 n-Butane mass frac,4 i-Pentane mass frac,4 n-Pentane mass frac,Q-104,"5 temperature, C","5 pressure, kPa","5 mass flow, kg/h",5 Methane mass frac,5 Ethane mass frac,5 Propane mass frac,5 i-Butane mass frac,5 n-Butane mass frac,5 i-Pentane mass frac,5 n-Pentane mass frac,"16 temperature, C","17 temperature, C","16 mass flow, kg/h","17 mass flow, kg/h",16 Methane mass frac,16 Ethane mass frac,16 Propane mass frac,16 i-Butane mass frac,16 n-Butane mass frac,16 i-Pentane mass frac,16 n-Pentane mass frac
705652,-19.0,2394.0,17857.0,0.6217569641237777,0.1736038996771926,0.0896952292714918,0.0634936318329126,0.0200185828984365,0.0146893009662321,0.0167423912299566,672.6480200040559,-37.0,4878.0,8864.0,0.1321586723651922,0.0771890140043648,0.0335993714892517,0.6181553213361565,0.024559628605114,0.0683554478989832,0.0459825443009372,-23.16091092731139,56.30833276778583,17618.440896324177,9102.55910367582,0.6913669829359244,0.1760398161321431,0.0768260198211488,0.0389542201731917,0.0100000548764854,0.0036869401172265,0.0031259659438798
41206,-6.0,2519.0,11833.0,0.7690980435369372,0.0514891231442555,0.034672719247163,0.107183160140109,0.0040366018237844,0.0195352555764786,0.0139850965312721,196.44990345181407,-34.0,4698.0,3427.0,0.1834807393283371,0.090931352752362,0.1327580239456709,0.1844140930144829,0.2531597094833594,0.0591113314472059,0.0961447500285817,-11.00333659323286,43.97623029508304,12317.441634910225,2942.558365089779,0.7867708857820691,0.0531975490741807,0.0331907036315714,0.0984279870198506,0.00359234089765,0.0149804209683301,0.0098401126263479
23097,3.0,2242.0,19152.0,0.6344556084389507,0.0603029273124782,0.1454738615770961,0.1158150457027425,0.0272743397380909,0.0068453787735102,0.009832838457131,955.0286000068317,-43.0,4561.0,14065.0,0.1097231943542836,0.0734373688385767,0.0700548060376047,0.3622047329727113,0.3236202022089879,0.0163865205136418,0.0445731750741939,-2.3344838383638944,56.56944053220542,20689.106633297222,12527.893366702778,0.6555983070974369,0.0614447770310712,0.1354251531038799,0.1075661713018494,0.0251887896745812,0.0061280773090393,0.0086487244821418
344180,-33.0,2631.0,4499.0,0.730188754844489,0.102874833808823,0.0658913942471274,0.0601559699441344,0.0118329919683705,0.0135164999958964,0.0155395551911592,719.2896377059587,2.0,4899.0,22720.0,0.1244853516105838,0.1203718678608825,0.1660293240971482,0.3104571020885922,0.1988900287132692,0.0153601339021578,0.0644061917273662,-24.442901576971902,37.39110602032207,8230.24051989188,18988.75948010812,0.7069735614602091,0.1626500567934147,0.0720914804010619,0.0447435280272458,0.0079325504286942,0.003096183126468,0.0025126397629061
276364,-14.0,2625.0,6966.0,0.5863421870258569,0.1437504119274932,0.1106379081818963,0.1220781550150677,0.0133779362567135,0.0129441584619343,0.0108692431310378,609.4550138340021,3.0,3718.0,12785.0,0.0912524733061436,0.0646010398104198,0.2080851900853754,0.3163514246693608,0.2381482444974273,0.0037329888807724,0.0778286387505004,-16.9243492682711,57.0910838886586,7795.429123420525,11955.57086503973,0.6582333814470064,0.1533830838595022,0.1019120873005076,0.0749195408010307,0.0065568165324445,0.0030700821987315,0.0019250078607767
73273,-26.0,2549.0,5171.0,0.6877524664089969,0.0445714691846836,0.0675456697348719,0.1230548530877357,0.0449121279508189,0.0073335502276739,0.0248298634052186,1067.6403871102686,-10.0,4615.0,20974.0,0.089363113637546,0.0692182929369815,0.174609610158139,0.4353937761614488,0.0941901504092806,0.06536205422162,0.0718630024749839,-25.38196172079396,54.86591179553898,6596.899934151825,19548.10006584818,0.7915637870119661,0.0743894279155475,0.0576284817442819,0.0575401495540057,0.0154124870316635,0.0010232420327404,0.0024424247097943
451206,-29.0,2081.0,13576.0,0.7566607022447164,0.0988064091116397,0.039595473014935,0.0676916755817614,0.0087221631931331,0.0135413568956803,0.0149822199581338,272.2697522026539,-14.0,4235.0,4054.0,0.1002710245253041,0.0566969237940352,0.0585365636932222,0.6768681440750927,0.0042624762423578,0.0099508995217309,0.0934139681482569,-29.57936920867621,61.54252943363696,13214.304442685474,4415.695557314524,0.8045399093746319,0.1019938625152457,0.0356254594346666,0.045852421729179,0.0048958888676633,0.003903340206681,0.0031891178719322
755370,-3.0,2445.0,7819.999999999999,0.653965672054525,0.0770815450586217,0.1002923110129267,0.1168891855757732,0.0149476782107266,0.0182578288758755,0.0185657792115511,371.31848805507366,1.0,4502.0,8053.999999999999,0.1819374983006919,0.035862682613082,0.2078922068798273,0.3087696752776709,0.2120521403776759,0.0176156707365023,0.0358701258145492,-6.641856817926055,64.52393890797521,9409.891461645437,6464.108538354562,0.6924594836867107,0.0770031993683378,0.101697017203447,0.0983525848589099,0.0118320718380615,0.0100435424768908,0.0086121005676418
693016,-7.0,2595.0,13504.0,0.7174489478155914,0.0785183199152367,0.0803228711524483,0.0805809844050089,0.0293389530276879,0.0074543952574222,0.0063355284266044,628.598443498939,-41.0,4889.0,10047.0,0.1522721879272745,0.0707774222982816,0.1343947683468055,0.1731360165474866,0.4147044933212654,0.0103322356390373,0.0443828759198488,-14.916791772856245,48.47349703478818,14912.799455558716,8638.200544441283,0.7445948846749636,0.0770993688050349,0.0733154039151691,0.0704539661332517,0.0248469410931259,0.0054457478945811,0.0042436874838733
5665,-36.0,2265.0,17414.0,0.6758659370746436,0.0249687911189428,0.1300192902402272,0.1286011872195203,0.0199602531111581,0.0084089874096022,0.0121755538259054,679.2417257536243,-3.0,4440.0,20408.0,0.2712529683386445,0.2617080215696145,0.0517572015786169,0.1572328777871503,0.0297016407070014,0.1577994181262483,0.0705478718927238,-30.74156416880672,36.89463191396777,23131.444925418786,14690.555074581218,0.7439615077459995,0.1242665659925598,0.0843079012261843,0.0415396430366659,0.0045063651221552,0.0007099754162724,0.0007080414601625
684173,-34.0,2702.0,22965.0,0.6327661153633106,0.072235898083973,0.0520489621392601,0.1685476957696806,0.040466591302019,0.0075437367817482,0.0263910005600081,1426.6114976388744,-49.0,4511.0,13344.0,0.1814564076348162,0.023970399191167,0.2052352120373816,0.066149365988044,0.4321775135128085,0.0804936676139692,0.0105174340218133,-39.31862280823523,59.79760041276273,19731.146193889243,16577.853806110747,0.8487621309008782,0.0763487323376668,0.0282563805089226,0.0390530889207448,0.006247389811004,0.0004006451655302,0.0009316323552533
403121,-34.0,2084.0,5743.0,0.6227070927588597,0.1608538133325495,0.0871999086221027,0.0811592310805361,0.0097536991697965,0.0240985040865151,0.0142277509496401,1054.8723337854894,-22.0,3777.0,19751.0,0.1315365863462789,0.1258956058492321,0.1026575185786102,0.3462413362659579,0.2537178104257364,0.0345860076458843,0.0053651348882999,-34.506988208849606,49.3091997056041,8200.192396371822,17293.807603628175,0.7357769907870381,0.1708612338862443,0.0589047304268708,0.0287281257494144,0.0024548754700395,0.0023290119873643,0.0009450316930283
387410,-26.0,2747.0,12381.0,0.7263530758086664,0.0326247351880866,0.0875978718589122,0.1112773458807295,0.0154138977936859,0.0165336149609255,0.0101994585089934,552.5702018921857,-25.0,4740.0,9012.0,0.1444179956186151,0.0974794927587082,0.1691574702886933,0.3986945720686814,0.0781132388800261,0.0546801064996007,0.057457123885675,-31.00158699136665,42.71987339303399,12187.467824701496,9205.532175298502,0.8345087890490793,0.0374833437606637,0.0682698021879538,0.0511305713888548,0.0052693462766478,0.0023313268339271,0.001006820502873
10289,-4.0,2165.0,16772.0,0.6511692051835573,0.0801189513467814,0.1433344082943231,0.0965921080160408,0.0104033195726751,0.0079135478131525,0.0104684597734695,587.4830364090071,-47.0,3950.0,11097.0,0.1416993074985641,0.0671135597448762,0.0833590567499995,0.3714774840328194,0.3200536989788311,0.0050728665403659,0.0112240264545435,-8.706200150355414,28.83732740489222,18060.79680627042,9808.203193729574,0.6795520042022495,0.078209987227571,0.1328525887919768,0.0865364226959666,0.0090880615575233,0.00615164635624,0.0076092891684726
689938,-4.0,2417.0,9807.0,0.6721149212618177,0.0423942048988299,0.080162795180034,0.1521055999905273,0.0244688392483906,0.0211485220054443,0.0076051174149558,784.1482153248232,-47.0,3708.0,12162.0,0.116261484409012,0.0941880122995331,0.1436953039590826,0.2455737021301278,0.3399306499040324,0.023494476335342,0.0368563709628701,-10.604831343218224,41.97266706132751,10575.130679335263,11393.869320664737,0.7422220086222494,0.0452491174164035,0.0708326679238003,0.1135836439664527,0.0163345882263099,0.009108144928043,0.002669828916741
501334,-32.0,2235.0,7517.0,0.6037280293587525,0.1156463950394706,0.1517877473944037,0.0836803323591631,0.0069967395045597,0.0188689395554405,0.0192918167882098,276.89199409682743,-43.0,4385.0,3086.0,0.0387457423909748,0.0769212021335397,0.0979175931495111,0.3435684379126084,0.3514947330975996,0.0504419149375135,0.0409103763782525,-33.99833414645812,46.327155919538086,6104.1682654546585,4498.831734545342,0.7536962515450807,0.1221003265207154,0.0948503832122516,0.0253530096016534,0.0014756189750964,0.0014858110819265,0.0010385990632757
11634,-11.0,2779.0,21442.0,0.6826182094900178,0.0818133587270101,0.0945534369685271,0.1049371749406291,0.0159466203621104,0.0107617675312641,0.0093694319804413,624.2906043519608,-13.0,4551.0,12113.0,0.0924122123934736,0.0670746836360039,0.072015139388666,0.4505860049888549,0.2862927973256921,0.0244166100181491,0.0072025522491599,-16.912241296969512,49.51022139478738,21387.24875301905,12167.751246980955,0.7283994316335467,0.0858509107826287,0.088215737446719,0.0796935921388049,0.0105885211348462,0.0042924557751644,0.0029593510882899
708779,0.0,2360.0,7694.000000000001,0.7356345758748722,0.0259758252872483,0.1080388489339443,0.081482042690234,0.0194434741807652,0.0198497852161852,0.0095754478167505,1232.3366808097842,-31.0,4603.0,17800.0,0.0944900910954763,0.0314872907416925,0.1170611570984375,0.259964083127302,0.4139288814466811,0.0233616563575689,0.0597068401328416,-8.681389402752643,70.07162027831049,9439.008548666368,16054.991451333635,0.7616136623306629,0.0297002588991795,0.0943323802035652,0.0705594391227418,0.0197230838858441,0.0162246041056077,0.0078465714523987
605569,-23.0,2184.0,18441.0,0.6691192807138616,0.0512566124131772,0.1375470771755789,0.0866920694384215,0.0303566059660739,0.0201471927066533,0.0048811615862331,568.0289736878556,-43.0,4650.0,7220.0,0.104321500817955,0.0928963705566496,0.1473090581392461,0.4030802604582907,0.1582966970584753,0.0738485317343957,0.0202475812349872,-24.528615363465263,43.01532158791446,16788.16717143285,8872.832828567141,0.7722712028674444,0.0546181059625328,0.1121568571043454,0.0446977096293813,0.0120568132330337,0.0035747340654352,0.0006245771378268
