,"1 temperature, C","1 pressure, kPa","1 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,"3 temperature, C","3 pressure, kPa",Q-100
587531,46.0,3894.0,10549.0,0.6767476412870652,0.0517763238465631,0.164708529922848,0.0546781771924827,0.0254955700293308,0.0198391425512317,0.0067546151704782,22.182890242821145,2506.0,108.9790965570446
132728,37.0,4075.0,21080.0,0.6496622773091242,0.0930325789068885,0.1012274233469456,0.0974536644243822,0.0219210127197266,0.0190874179948159,0.0176156252981167,7.862234429466582,2361.0,248.7350584446758
211931,17.000000000000057,4063.0,23611.0,0.6542353828757782,0.0765533936364558,0.1008841475853735,0.1304617575600563,0.0144554096915301,0.0094686068853282,0.0139413017654776,-9.92931814901533,2035.0,320.3866259956704
410586,-20.0,3918.0,1037.1173769670545,0.7865723592662245,0.0701230027638786,0.0788388221174527,0.0595318175356381,0.0029732201174376,0.000809116959331,0.0011516612400374,-37.25295130416728,2475.0,8.91968746240127
258320,0.0,4743.0,21728.034937380275,0.6838875116827433,0.1090353562094741,0.1175460566701725,0.0568261901319558,0.0188315498279927,0.0110983977766964,0.0027749377009651,-24.48404544739288,2469.0,258.91926853048426
116954,36.0,3624.0,19295.0,0.6468285755059158,0.1108999344071085,0.0802402295432481,0.115433720894649,0.0137739042068783,0.0133534739338053,0.0194701615083947,8.49441037868661,2146.0,221.595601805504
531785,10.0,4756.0,21182.0,0.6494689139968858,0.1281006575402724,0.1161738044687002,0.056082311302573,0.0284502903271766,0.0133925105803164,0.0083315117840754,-17.21161709836744,2379.0,273.03673792074915
337406,-21.0,4622.0,5434.6931025200665,0.8623389677438104,0.0309315729421239,0.029826116161861,0.0589652218406559,0.0115392045482211,0.0041334767010286,0.0022654400622989,-49.50332977618288,2294.0,71.3732108493623
441465,-7.0,3817.0,19822.067459929887,0.6937166321629032,0.1424201182146626,0.0562185301931102,0.0876306653707503,0.0149550362813381,0.0031142659099255,0.0019447518673097,-25.551317806158664,2303.0,188.21099352077
198353,29.0,3536.0,7341.0,0.6606599665475215,0.068630922715658,0.1190868952300654,0.1122336956181603,0.015862473851511,0.0167564442632492,0.0067696017738345,3.089675004848232,2154.0,78.00755077764643
217622,-24.0,4711.0,2735.1733833400285,0.7566363940786497,0.1456274999944799,0.0501820004557,0.039444912355511,0.0062601454123035,0.0008529850025754,0.0009960627007801,-50.72508157465893,2367.0,31.64340511131832
271223,6.0,3562.0,22510.268467889764,0.6841632628192353,0.0684516926276468,0.1501328651758253,0.0490480810115979,0.0160449398234271,0.0168343270045496,0.0153248315377177,-15.469459763081318,2012.0,254.89927131149307
87545,16.0,4566.0,9557.000000000002,0.6687738140967544,0.1036061872438001,0.1218143952035181,0.0657521806018208,0.0087988633988551,0.0070807785529244,0.0241737809023269,-10.298615651643331,2487.0,114.37675364259304
403589,46.0,3917.0,19450.000000000004,0.7212520969867701,0.0840369837486754,0.087993409375154,0.0551283798306318,0.0101239440838018,0.0224453728166519,0.0190198131583144,23.377587256610923,2596.0,197.35979429491272
116728,28.0,3717.0,5555.0,0.6160329093047298,0.0933248112480702,0.1445711766946984,0.1029589510302657,0.0129968463412054,0.0183685520082067,0.0117467533728237,1.4899986342240936,2158.0,61.37255577264477
136662,-14.0,4802.0,11141.090921643165,0.7255168022166403,0.1670607461578284,0.0329944533012385,0.0580020133635462,0.0082350820141628,0.0050606306662515,0.0031302722803318,-47.39424046057357,2038.0,165.27711104746595
86574,-5.0,4618.0,4629.2256193004405,0.7425094794347161,0.0532042598781981,0.114890386465632,0.0704662971534446,0.0088089510568275,0.007719702054022,0.0024009239571596,-26.670456742677143,2595.0,50.14761256283237
355334,15.0,3540.0,4696.0,0.7582393443295936,0.0915084887970009,0.0331977370509781,0.0731397695373093,0.0112103684575765,0.0116618818296099,0.0210424099979312,-6.531422246531747,2330.0,43.94991336314342
322329,-12.0,4467.0,17722.36666873977,0.7510012246051533,0.0786773478377242,0.0905557522887213,0.0710330920751628,0.0048953723783401,0.0025664072641526,0.0012708035507457,-33.419988853028485,2514.0,187.2672608204848
306112,9.0,4071.0,19451.58645079089,0.6637017632047061,0.0321676276373448,0.176692394025464,0.0974663451318547,0.0135429122938907,0.0099003576833878,0.0065286000233517,-7.579487486588903,2573.0,171.44150007113058
462318,3.0,3700.0,10619.472905271214,0.6912676539080972,0.0319201939585743,0.155196259105577,0.0931359619779413,0.018674941880634,0.0058892007703378,0.0039157883988383,-17.269868986785298,2072.0,119.22570433929468
2395,-6.0,4164.0,2987.6871973747016,0.7202758328422821,0.0654696659670403,0.1526238144764101,0.0353852837237621,0.0160883458171134,0.0069974162191371,0.0031596409542546,-26.7745035175326,2382.0,31.30380843625653
161462,46.99999999995117,4886.0,21132.0,0.7262612946256112,0.1083743350767803,0.0302693754565695,0.0860512385057354,0.0252999682042309,0.0112127960039543,0.0125309921271184,11.750291157687116,2592.0,319.27659600219704
467783,-20.0,4078.0,13245.668667991691,0.842221576392527,0.0475097440298115,0.0279016068715624,0.0711255861964771,0.0052637465757361,0.0026329994691272,0.0033447404647585,-38.359277456858734,2594.0,116.55040053686024
266935,42.0,4693.0,9757.0,0.653349304459483,0.0372147568877276,0.1348419586824009,0.1311246923974229,0.0289287169585009,0.0100672641896973,0.004473306424767,7.972872924875446,2498.0,131.06947288132503
433652,27.0,3657.0,1020.0,0.6590051088186664,0.0975279949455512,0.1227480553146313,0.0766653080156416,0.010284247052822,0.0153565540902125,0.0184127317624745,2.830585872946301,2318.0,9.949345116021505
68577,-6.0,4497.0,12128.719245333088,0.7872091957841468,0.0500019566878509,0.0743655733610756,0.0487403159063081,0.0221053400650548,0.0113478792464029,0.0062297389491607,-30.756526907335967,2409.0,147.99709872104177
512755,41.99999999999972,3988.0,13882.0,0.6807174522923972,0.116122660231539,0.0360427793837833,0.1009231068540514,0.0371686107576528,0.0136108984151818,0.0154144920653944,15.577272559327923,2446.0,156.97350433728388
354675,-2.0,4321.0,17645.750813913048,0.7194831021525834,0.0973265829640879,0.0472980381554338,0.1119523250792076,0.0163647425920467,0.0050999932341922,0.0024752158224477,-28.808206896261368,2061.0,247.2295684859928
451553,48.0,4249.0,5488.0,0.7363083432463667,0.062573038382527,0.0639380498930121,0.0989198049492689,0.0060467027576461,0.0178820200377093,0.0143320407334697,19.128424246316627,2513.0,70.76224129424645
574787,29.999999999965155,4217.0,22588.0,0.6531578660421009,0.1149513028270246,0.1035058379080331,0.082383273086223,0.0167625068479488,0.0109499582818998,0.0182892550067693,-5.880805213631334,2012.0,347.17276918121206
480031,20.000000000000284,4809.0,10667.999999999998,0.683424555881948,0.1263458744247721,0.0595968572520159,0.1036574397117189,0.0125628716715404,0.0081646992734394,0.0062477017845651,-14.526256318310288,2309.0,156.62803189160877
98464,-10.0,4293.0,12165.764707609613,0.7405612765160963,0.0978545067302607,0.0666352682204669,0.0818379756706364,0.0080954750598042,0.0030996070048003,0.0019158907979352,-33.79104407688263,2262.0,144.8075543365685
502359,35.0,4426.0,24195.000000000004,0.6154864854830339,0.1218950939974369,0.0578184912414756,0.1611551113786189,0.0057882754497398,0.0196519042744386,0.0182046381752559,6.08876219193445,2435.0,295.1780795008526
200775,17.0,4547.0,11478.080070943251,0.588099240292164,0.1391602182308183,0.1071088255040193,0.1150699266780914,0.0268710426256691,0.0116171930142452,0.0120735536549924,-6.37806232075269,2388.0,135.33218850413868
154932,10.99999999965081,4410.0,24717.0,0.7136343736668012,0.1198318243036179,0.0633148137163843,0.0763579537048727,0.0092491525963295,0.0050690246959849,0.0125428573160091,-14.954843765520708,2562.0,272.3046421182262
391098,-5.0,3581.0,14551.293962080912,0.7334748680218445,0.0236663315802581,0.1442450902959875,0.0858421084031085,0.0055480305950031,0.0052994684022813,0.0019241027015168,-22.3767836519811,2192.0,139.54174220050118
48220,-19.0,3636.0,5817.757423298883,0.7905414661756267,0.054866608397034,0.0903840180182043,0.0534897713249723,0.0079879276237556,0.0017153592642011,0.0010148491962058,-32.27095914938417,2556.0,39.53479665083341
568340,-11.0,4018.0,13543.747121481949,0.7429326941729023,0.0802433165437507,0.0929653225310261,0.0734582191907312,0.0062791751144874,0.0014185654853048,0.0027027069617971,-30.16636154065239,2391.0,132.46738446099152
378439,-19.0,3949.0,4785.405647004151,0.8005680297256309,0.0412914724900402,0.1010611699923915,0.0451982617602144,0.0087745377796753,0.0020095956479802,0.0010969326040673,-38.26014429717975,2360.0,46.56925242343641
179951,13.0,3855.0,23223.968615581347,0.6251255361311526,0.113247836274162,0.0666045463287764,0.1482647285341116,0.029409688228899,0.0099252127898632,0.0074224517130351,-7.498259998698359,2156.0,258.5619481056019
582848,3.9999999998095177,4230.0,13844.0,0.7458845646441284,0.0897236692548992,0.0388496338369301,0.0960820314316007,0.0141526100253336,0.007951879918398,0.0073556108887097,-25.1628665644445,2088.0,195.60405464769428
36059,6.0,4609.0,7101.664369545608,0.6502326256162236,0.1055382356507289,0.1290303781368787,0.0845615536610834,0.0176080893201226,0.0066562058815028,0.0063729117334598,-17.377697882607947,2430.0,83.33611453734375
387920,2.0,4512.0,2508.5654749282844,0.7550085510959621,0.0354604012434332,0.0716885848497953,0.0952398112213078,0.0277513580803742,0.0089323171566233,0.0059189763525038,-26.855619824332337,2054.0,38.64925807955751
472365,28.999999999933262,4109.0,19332.0,0.6382133863710158,0.1123075586817501,0.1413280381316904,0.0612979156122389,0.0116762934315485,0.0189645060700468,0.0162123017017093,-2.1881814052164827,2192.0,250.6226704121873
589727,39.0,4724.0,19349.0,0.5756900711462427,0.0588160984012938,0.1281615599886851,0.1717796907606585,0.0249980740147798,0.0243720536375378,0.016182452050802,6.959238397666127,2167.0,289.2464062182444
489551,46.0,3694.0,14692.0,0.6796283136973952,0.0255369385613433,0.1283312972915517,0.101086998186879,0.0316906565489437,0.0150936925254607,0.0186321031884261,21.953984892864696,2350.0,154.7384883871855
355222,6.0,4248.0,23030.0,0.7477257410021706,0.0652440391359332,0.053389459077948,0.0935091752318942,0.008131742667572,0.0129869401289429,0.0190129027555386,-22.803485497353364,2032.0,343.09069885830104
339237,-17.0,4194.0,9023.315231007811,0.7697665011372851,0.0723430761748051,0.1025716859844907,0.0411246011119825,0.0110028120430343,0.0021356148309895,0.0010557087174129,-41.13296622057487,2181.0,108.02101090606448
601871,-11.0,4372.0,6013.844515157338,0.7067036333710593,0.1451493539435268,0.0859925082432016,0.04882132815355,0.0033651512018505,0.0060280986454965,0.0039399264413151,-38.41477690680938,2124.0,77.42673896641736
506149,-9.0,4222.0,11345.59680790463,0.7447755234100684,0.1122619828786809,0.037059296734369,0.0894884321046809,0.0068647758873376,0.007160128545262,0.0023898604396012,-34.053060037395085,2183.0,141.01866683431945
385652,50.0,3883.0,14430.999999999998,0.7336804627624474,0.0341252501452484,0.0462199778019415,0.1248807981672028,0.0325190933317529,0.0103097180593458,0.0182646997320609,20.88894117089069,2262.0,191.83697946689423
82161,9.0,4889.0,9994.0,0.6686517177892192,0.1450256740254843,0.0507857459650542,0.0945173602117799,0.007167607691375,0.0250652865878073,0.00878660772928,-18.327962207621965,2438.0,131.05295285150714
140300,4.0,3505.0,14938.193021500976,0.6566134842018525,0.0732257889065863,0.1310163731766821,0.1087763686067135,0.0239875523159322,0.0021371530178792,0.0042432797743537,-14.00243001187954,2083.0,149.04831099931835
502756,16.0,4695.0,14485.0,0.6366511923755809,0.1023188557270303,0.137697662608119,0.0862938213830247,0.0069411151998304,0.0226705132777605,0.0074268394286539,-8.45559434916305,2568.0,165.5082420155013
417709,-6.0,3509.0,18008.71481311371,0.7469561368192037,0.0254019509507823,0.1413389553040308,0.0668922277911159,0.0090776768319343,0.0048718379648485,0.0054612143380841,-23.81323933393918,2158.0,173.0575525580134
356261,42.0,4359.0,6766.0,0.7645726836615563,0.0408259432029911,0.0458527198820765,0.117048026304928,0.0102244363556012,0.0058809221694693,0.0155952684233772,11.846543329554663,2520.0,89.97575161148416
406366,35.0,3645.0,2985.0,0.6707405833494553,0.0533565318739541,0.1603480583953243,0.0773754424078266,0.005647974176302,0.0224605639822737,0.0100708458148638,15.1966908587803,2518.0,24.79785450547979
171413,14.0,4193.0,11863.0,0.7245662247412153,0.0704557265202668,0.0596498542335238,0.0927341607032584,0.0176223592802413,0.0195165636657269,0.0154551108557672,-10.221004172056666,2366.0,141.04932635652585
595729,-19.0,3929.0,9301.758040997309,0.7778471067068237,0.0571465277575061,0.1207720308898206,0.0378655221925771,0.0024227197870894,0.0017332770539623,0.0022128156122205,-41.77148251274062,2108.0,106.934400242415
184034,41.99999999989802,4590.0,8917.0,0.6529564594596393,0.1558769232039255,0.0501380330521832,0.0842850292640896,0.0273398951035245,0.0117927312868261,0.0176109286298115,8.637525472168761,2491.0,120.53248232042095
72769,-11.0,4874.0,6648.856228849858,0.8164082623171297,0.0473097771131365,0.0286028251646687,0.0879817343556003,0.0084239713341555,0.0085482539984693,0.0027251757168398,-41.50270306255837,2244.0,97.69157910793184
