,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h","1 actual vapour flow, m3/h"
68703,-8.0,4182.0,10181.0,0.5594310652895804,0.0723667176434035,0.0867770777024046,0.2400856715696961,0.0144188715314463,0.0217212057483379,0.0051993905151308,5695.567675713219,736.7655523274909,883.4774280881812,2444.312222251076,146.79853106165478,221.14359572382816,52.93499483454667,5.748575277071082,162.4553550163704,162.4553550163704
613958,-21.0,4261.0,6945.0,0.4573991680421463,0.0906885635309847,0.0211798728769592,0.1260701010593248,0.2907829592164943,0.0073343875917323,0.0065449476823579,3176.637222052706,629.8320737226887,147.09421713048164,875.5568518570108,2019.4876517585528,50.93732182458082,45.45466165397561,6.793524644069089,73.57851643018996,73.57851643018996
223379,-8.0,4587.0,13945.0,0.4286657477182393,0.1774540814612494,0.0802898171199082,0.2116720944317909,0.0860207385663031,0.0106202284422799,0.0052772922602289,5977.743851930847,2474.597165977123,1119.6414997371198,2951.767356851324,1199.5591993070968,148.0990856275932,73.59184056889201,12.57804468173392,147.92595630328648,147.92595630328648
473788,-7.0,4344.0,9413.0,0.4857955209486733,0.0960737987618397,0.0286301013829183,0.2235188753892328,0.1503960443997659,0.0042158242725112,0.0113698348450587,4572.793238689862,904.3426677451971,269.49514431740994,2103.983174038848,1415.6779659349963,39.68355387714793,107.02425539653755,7.428656251542644,121.66299147549589,121.66299147549589
74162,-5.0,4443.0,7106.0,0.4597400117201164,0.1023856522906181,0.0608222091157448,0.1231387136712181,0.2424759204645128,0.0054763618183348,0.0059611309194548,3266.912523283147,727.5524451771323,432.20261797648254,875.0236993476759,1723.033890820828,38.91502708108709,42.35979631364581,6.025641731425646,85.16076734473548,85.16076734473548
31105,-1.0,4250.0,21361.0,0.3907305812772104,0.145191277032347,0.078390481341209,0.1235319308014054,0.2435283100154072,0.0070747710549039,0.0115526484775169,8346.395946662491,3101.430868687964,1674.4990719295656,2638.7655738488206,5202.008230239113,151.1241845038022,246.7761241282385,20.32812726559036,238.9236381371641,238.9236381371641
430868,3.0,3643.0,28956.0,0.4264515051697405,0.1376745422453921,0.0722761782928676,0.1356988611538225,0.2144135043212438,0.0055380599109986,0.0079473489059346,12348.329783695006,3986.504045257574,2092.829018648274,3929.296223570084,6208.557431125935,160.36006278287547,230.12343492024226,21.06681419201176,464.355467337216,464.35546733721606
388259,-8.0,4251.0,16042.0,0.4982007110447647,0.0928869039931258,0.0309317624792126,0.1969385233169266,0.1489722065804128,0.0163022219544232,0.0157676706311339,7992.135806580115,1490.091713857724,496.20733369152856,3159.2877910501365,2389.812137962982,261.52024459285695,252.94497226465,12.13761743182606,218.09027405152145,218.09027405152145
477979,1.0,3918.0,6126.0,0.4681096022367974,0.1705452206345885,0.0260972150528075,0.1694718887616358,0.1533877299342238,0.0074946442213163,0.0048936991586305,2867.639423302621,1044.760021607489,159.87153941349877,1038.1847905537809,939.6532335770551,45.912190499783655,29.978801045770442,3.727100993957572,99.32232387702484,99.32232387702484
425663,1.0,3720.0,21851.0,0.4515762472373713,0.2180259783259461,0.0412697578706899,0.2075208374727165,0.0628439509651686,0.0084013571093644,0.0103618710187429,9867.3925783838,4764.085652400248,901.785479232445,4534.537819616328,1373.203172539899,183.5780541967215,226.4172436305511,11.54212494359002,381.6513785917478,381.6513785917478
