,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"1 mass flow, kg/h","2 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,2 Methane mass frac,2 Ethane mass frac,2 Propane mass frac,2 i-Butane mass frac,2 n-Butane mass frac,2 i-Pentane mass frac,2 n-Pentane mass frac
59117,26.0,4206.0,8723.0,0.6290431619455671,0.0882731197169781,0.1130494685777146,0.1314193648368483,0.0081494102895623,0.0203600366875345,0.009705437945795,8723.0,0.0,0.6290431619455671,0.0882731197169781,0.1130494685777146,0.1314193648368483,0.0081494102895623,0.0203600366875345,0.009705437945795,0.0808150624935946,0.0459417050357812,0.1651709343699635,0.4008059139767448,0.0329821172194055,0.1712132868785513,0.1030709800259589
442040,10.0,4220.0,22491.0,0.6982585524615499,0.0840249336048108,0.0968604649545499,0.0832648543452017,0.015795357512719,0.0114383812235191,0.0103574558976494,22491.0,0.0,0.6982585524615499,0.0840249336048108,0.0968604649545499,0.0832648543452017,0.015795357512719,0.0114383812235191,0.0103574558976494,0.0847509264029856,0.0474660886145544,0.1691463014309083,0.3229700928336748,0.0839278377668262,0.133852881502903,0.1578858714481474
439179,16.0,3504.0,24014.0,0.6672444309939253,0.0492133937660073,0.1281194848867091,0.118111343568738,0.0074698462873451,0.0136105886634945,0.0162309118337805,24014.0,0.0,0.6672444309939253,0.0492133937660073,0.1281194848867091,0.118111343568738,0.0074698462873451,0.0136105886634945,0.0162309118337805,0.0642015525121159,0.0221100161897027,0.1792290956917983,0.3707104692485766,0.0320549162120384,0.1301403706298314,0.2015535795159362
307838,9.0,3656.0,6298.0,0.624665961540307,0.0521449122589325,0.1649266542904842,0.1197305217475355,0.024072583030213,0.0070445381156191,0.0074148290169084,6132.770702482867,165.2292975171343,0.6395410354020782,0.0528105129244153,0.1623834713402877,0.1122219082512986,0.0218739941537109,0.0056201387054463,0.0055489392227625,0.0725519082364144,0.0274399941713717,0.259321281165913,0.3984256778605968,0.1056770058004446,0.0599135819390099,0.0766705508262497
288237,22.0,4764.0,24479.0,0.6604900477116864,0.1223208800300891,0.0373949033997356,0.114802357613777,0.0255286659872038,0.0213045042383677,0.0181586410191401,24479.0,0.0,0.6604900477116864,0.1223208800300891,0.0373949033997356,0.114802357613777,0.0255286659872038,0.0213045042383677,0.0181586410191401,0.091583351494866,0.0655349001689906,0.0543750201528513,0.3404409687103409,0.0994720190317672,0.1684739085146251,0.1801198319265585
526446,-21.0,3666.0,17852.0,0.7451992093797889,0.0552591310021864,0.0863098123998092,0.0497404194495379,0.0287707026902578,0.0135896949895191,0.0211310300889001,15953.481656761924,1898.518343238069,0.8221381401316805,0.0566386390117599,0.0711833306845859,0.0289323867378332,0.0136477770611172,0.0034116094329135,0.0040481169401097,0.0986719715403741,0.0436669566076265,0.2134194868649877,0.224592861282309,0.1558504949294916,0.099117391788759,0.1646808369864519
39075,23.0,3898.0,1245.0,0.675716235452991,0.0367651427414843,0.1192102821615218,0.1264670938340893,0.0138579626151864,0.0114365881556193,0.0165466950391075,1245.0,0.0,0.675716235452991,0.0367651427414843,0.1192102821615218,0.1264670938340893,0.0138579626151864,0.0114365881556193,0.0165466950391075,0.0766684435947716,0.0179385139557541,0.1705311655582712,0.389237114738991,0.0573190483669754,0.101226324324339,0.1870793894608975
210709,6.0,4035.0,22382.0,0.645915924870606,0.1145017268853866,0.0552785055892281,0.1401508443023282,0.0099109640707035,0.0164358639059483,0.0178061703757991,21253.46073675821,1128.5392632417845,0.67607040009722,0.1172554860527731,0.0535186328320779,0.1234406269726676,0.0082363921060759,0.0108797408295042,0.0105987211096813,0.0780252221356313,0.0626409593881062,0.0884216914437808,0.4548496407788049,0.0414477042270476,0.1210727582525314,0.1535420237740975
406870,4.0,4815.0,21943.0,0.6757620528282017,0.1357037266039727,0.1088695286338461,0.0551232673341346,0.0050447060198808,0.0100681606730864,0.0094285579068775,21943.0,0.0,0.6757620528282017,0.1357037266039727,0.1088695286338461,0.0551232673341346,0.0050447060198808,0.0100681606730864,0.0094285579068775,0.1138191878274788,0.0979629559814065,0.2288516000579955,0.246709342311083,0.0303970516142268,0.1280525371406711,0.1542073250671379
34147,-17.0,4555.0,16252.999999999998,0.6390867967043118,0.0885386049354143,0.1258766122102375,0.0919003525509466,0.0205325654184019,0.0178261359578555,0.0162389322228322,12971.00024097078,3281.999759029129,0.7671547203172565,0.0901772661802467,0.0889185061905818,0.0409737980816038,0.0072468621991698,0.0032459393523512,0.0022829076787901,0.132941400601224,0.0820623474819775,0.2719410964527836,0.2931704314034281,0.0730398391267627,0.0754494594096925,0.0713954255241312
147828,36.0,4531.0,17668.0,0.6923158990846889,0.0754302491587096,0.1193678409605529,0.0735621865782158,0.0279013144010051,0.0069773058082206,0.004445204008607,17668.0,0.0,0.6923158990846889,0.0754302491587096,0.1193678409605529,0.0735621865782158,0.0279013144010051,0.0069773058082206,0.004445204008607,0.1424179931691538,0.0571265823494342,0.2371986554303448,0.2916685170481402,0.1436858471173651,0.0715230722850729,0.0563793326004889
386270,-3.0,4121.0,7015.0,0.5712141292574953,0.1100862220326639,0.1417949174805019,0.1314165825541172,0.0195898401678146,0.0163485410376822,0.0095497674697247,5773.109172213618,1241.8908277863814,0.6730318699473484,0.1163482052464847,0.1169507493682495,0.0772111720231965,0.0096371548311907,0.0046366269133136,0.0021842216702162,0.0978996321060854,0.0809764871678087,0.257286627054133,0.3833982750813535,0.0658563377692471,0.0707930681593536,0.0437895726620185
426682,-17.0,4014.0,11722.0,0.7056383580744202,0.0632596354233139,0.0428951919220818,0.1498085755276883,0.0193924925214338,0.0064382192853487,0.0125675272457129,10010.620036941404,1711.3799630585902,0.8078732316611756,0.0654599136416827,0.0340244225389606,0.0805181790881504,0.0084377917754016,0.0014714655516586,0.0022149957429701,0.1076212630438978,0.0503892327686733,0.0947842543434111,0.5551188198556455,0.0834713932647472,0.0354909635725798,0.0731240731510451
569519,34.0,4244.0,22812.0,0.5812445293503316,0.1521843496462834,0.0520156899115049,0.1580951973590787,0.0355374812255698,0.0058656648533277,0.0150570876539039,22812.0,0.0,0.5812445293503316,0.1521843496462834,0.0520156899115049,0.1580951973590787,0.0355374812255698,0.0058656648533277,0.0150570876539039,0.0807221436567891,0.0800774527076372,0.0732176124389754,0.4495002610715388,0.1321611205418722,0.0439254337450263,0.1403959758381607
478025,27.0,4233.0,21859.0,0.6207927703488639,0.1157190397525207,0.1216928717294135,0.1098151961179835,0.0042840241658963,0.0132313528632078,0.0144647450221139,21859.0,0.0,0.6207927703488639,0.1157190397525207,0.1216928717294135,0.1098151961179835,0.0042840241658963,0.0132313528632078,0.0144647450221139,0.0875953886063903,0.0653741225057021,0.191196916967449,0.3575434763183738,0.0184707886082542,0.1176873374512547,0.1621319695425755
183575,6.0,4694.0,2562.0,0.6881617551581489,0.0351258837645613,0.1035713915068784,0.1074104239646119,0.0326232074789823,0.011537266512532,0.021570071614285,2392.500424928255,169.49957507174466,0.7300822861460325,0.0361215128437236,0.0987595590556865,0.0908427871452845,0.0256756098010208,0.0069667674406202,0.0115514775676319,0.0964500168881426,0.021072497530653,0.1714908018020811,0.3412639785444393,0.1306891193829955,0.0760502363359361,0.1629833495157522
513114,39.0,3886.0,7731.0,0.6560323618642656,0.1293534159338887,0.0519963475652323,0.098080112061783,0.023875700180801,0.0216193464517941,0.0190427159422349,7731.0,0.0,0.6560323618642656,0.1293534159338887,0.0519963475652323,0.098080112061783,0.023875700180801,0.0216193464517941,0.0190427159422349,0.0929107665646825,0.0706215861090479,0.0770260955242121,0.2970282238314163,0.0948556932742652,0.1751701606078337,0.1923874740885419
402881,20.0,3764.0,11190.0,0.6326321582760835,0.1508922915594534,0.0830099546992505,0.0914122078265649,0.0261048409207896,0.009514779311783,0.0064337674060746,11190.0,0.0,0.6326321582760835,0.1508922915594534,0.0830099546992505,0.0914122078265649,0.0261048409207896,0.009514779311783,0.0064337674060746,0.0855995976224954,0.0893734109228276,0.145898341924609,0.348210952677587,0.1341806949685265,0.1053611032114432,0.091375898672511
121017,-1.0,4110.0,5369.0,0.5938553684682515,0.1158283847571837,0.1296243469713515,0.1192867970241922,0.0243971210497879,0.0040128164100656,0.0129951653191673,4720.356811702669,648.6431882973326,0.6624515688821297,0.120581198768602,0.1143336992265321,0.0822929934416586,0.0146825210013617,0.0015343067512194,0.0041237119284963,0.0946617475030305,0.0812408358576952,0.2408986415909675,0.3885009904083626,0.0950929663756706,0.022049620252431,0.0775551980118423
237353,-23.0,4712.0,20201.0,0.6395617102495832,0.0493211386702424,0.1521670549617325,0.0901957116607965,0.032546899234916,0.0172008286606275,0.0190066565621015,14780.956700952154,5420.043299047847,0.818344355338049,0.0490342163354283,0.0904799232470612,0.0301164532371334,0.0082257341893149,0.002074994069933,0.00172432358308,0.1520049897343552,0.0501036022731012,0.3203935381414269,0.2540373764573642,0.0988729537737966,0.0584503711117174,0.0661371685082386
9572,15.0,3839.0,21514.0,0.7071268983422433,0.0674166522055036,0.0489584147884075,0.0834586586085212,0.0503025513469472,0.0272739912874127,0.0154628334209641,21514.0,0.0,0.7071268983422433,0.0674166522055036,0.0489584147884075,0.0834586586085212,0.0503025513469472,0.0272739912874127,0.0154628334209641,0.0658941706152545,0.0286197296038639,0.0635045813083929,0.2395221814686135,0.1965369396515524,0.2340883622930026,0.1718340350593198
76308,40.0,3970.0,12901.0,0.7576174721783387,0.0447796262973069,0.0376414272472813,0.1316014672140455,0.0131092084558406,0.0053934400426764,0.0098573585645101,12901.0,0.0,0.7576174721783387,0.0447796262973069,0.0376414272472813,0.1316014672140455,0.0131092084558406,0.0053934400426764,0.0098573585645101,0.1442825408036743,0.0318308303523063,0.0714244319234289,0.5078513870051088,0.06566824045289,0.0548897467238132,0.1240528227387781
404591,-22.0,4196.0,18769.0,0.5700302133748958,0.0815243825286029,0.1515935589231309,0.1562188409392394,0.0149904808772129,0.0134712364871022,0.0121712868698156,12609.916237995096,6159.083762004839,0.7833808412248614,0.0823169770263203,0.08370846651384,0.0451855450892841,0.0032156869869774,0.0013109837905921,0.0008814993681245,0.1332227838172336,0.0799016492434076,0.2905793824916435,0.3835449521595036,0.039097827101579,0.0383677590643384,0.035285646122294
