,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"1 mass flow, kg/h","2 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac
394305,-20.0,4180.0,13066.0,0.7055811388040727,0.1021683836126168,0.0609005418720543,0.0656717969234247,0.0321072220358829,0.0104175109640216,0.0231534057879269,11400.339670864709,1665.6603291352787,0.7917575766067182,0.1040821912507263,0.0480042098725871,0.0355092827177135,0.01406871770008,0.0024270455891076,0.0041509762630669
311493,43.0,4438.0,9910.0,0.6262224501377585,0.148867668573802,0.0708876002902419,0.0975250603637797,0.0192859515440508,0.0192635590508037,0.0179477100395633,9910.0,0.0,0.6262224501377585,0.148867668573802,0.0708876002902419,0.0975250603637797,0.0192859515440508,0.0192635590508037,0.0179477100395633
274365,50.0,3887.0,19411.0,0.5309059651109063,0.1178631433508539,0.1284106617409127,0.1507587726582603,0.0391903837236834,0.0113834395952706,0.0214876338201128,19411.0,0.0,0.5309059651109063,0.1178631433508539,0.1284106617409127,0.1507587726582603,0.0391903837236834,0.0113834395952706,0.0214876338201128
347994,3.0,3918.0,7501.000000000001,0.6684741229226582,0.1404784183194335,0.1029022275987451,0.0625357727021065,0.0077383062933624,0.0117641240162441,0.0061070281474502,7501.000000000001,0.0,0.6684741229226582,0.1404784183194335,0.1029022275987451,0.0625357727021065,0.0077383062933624,0.0117641240162441,0.0061070281474502
270119,18.0,3605.0,10457.0,0.6710263065285865,0.0882893404961198,0.0789303415447007,0.1355935199701733,0.0109425157079726,0.0095851988863006,0.0056327768661463,10457.0,0.0,0.6710263065285865,0.0882893404961198,0.0789303415447007,0.1355935199701733,0.0109425157079726,0.0095851988863006,0.0056327768661463
534508,39.0,4195.0,11159.0,0.6107010446769061,0.1187183084453309,0.1505747793226674,0.0708359032975311,0.0152031927707587,0.0171561753601518,0.0168105961266537,11159.0,0.0,0.6107010446769061,0.1187183084453309,0.1505747793226674,0.0708359032975311,0.0152031927707587,0.0171561753601518,0.0168105961266537
15843,42.0,4405.0,11728.0,0.707582710181809,0.0365019050640708,0.1175512740649798,0.0842755219043274,0.0273342100714053,0.0094792861040043,0.0172750926094029,11728.0,0.0,0.707582710181809,0.0365019050640708,0.1175512740649798,0.0842755219043274,0.0273342100714053,0.0094792861040043,0.0172750926094029
90097,-8.0,4780.0,5294.0,0.7673457660820444,0.0419298558730991,0.0471739591269741,0.1092376821116482,0.0122731644942078,0.0107386048082955,0.0113009675037306,5024.504361989125,269.49563801087135,0.8023641127098764,0.0425658335794755,0.0442843319439255,0.0899459705325395,0.0093117258174385,0.0060271106779505,0.0055009147387936
425150,40.0,4662.0,18622.0,0.679565308249777,0.0236556479201744,0.1380015005313426,0.1175833841621267,0.0089137947580731,0.0163791284059998,0.0159012359725062,18622.0,0.0,0.679565308249777,0.0236556479201744,0.1380015005313426,0.1175833841621267,0.0089137947580731,0.0163791284059998,0.0159012359725062
247951,44.0,4017.0,22258.0,0.6166469071255587,0.132908173124964,0.0790291246501857,0.1225550148034855,0.014015568423837,0.012630606515452,0.0222146053565167,22258.0,0.0,0.6166469071255587,0.132908173124964,0.0790291246501857,0.1225550148034855,0.014015568423837,0.012630606515452,0.0222146053565167
