,"4 temperature, C","4 pressure, kPa","4 mass flow, kg/h",4 Methane mass frac,4 Ethane mass frac,4 Propane mass frac,4 i-Butane mass frac,4 n-Butane mass frac,4 i-Pentane mass frac,4 n-Pentane mass frac,Q-104,"5 temperature, C","5 pressure, kPa","5 mass flow, kg/h",5 Methane mass frac,5 Ethane mass frac,5 Propane mass frac,5 i-Butane mass frac,5 n-Butane mass frac,5 i-Pentane mass frac,5 n-Pentane mass frac,"16 temperature, C","17 temperature, C"
216580,-33.0,2423.0,2691.0,0.6718722987492679,0.0639581030391271,0.0681294537088947,0.1350395413156409,0.0283214159800401,0.0168636198333467,0.0158155673736823,640.8284657100024,-11.0,4745.0,9102.0,0.0831137348958579,0.0353394864855233,0.0199723192059342,0.2253792105878697,0.5227525184208074,0.0578391950054909,0.0556035353985163,-33.719630380788345,81.32227560877948
62456,-41.0,2687.0,6470.0,0.7018189317919599,0.0663498045074634,0.0435996893070682,0.1439994530868122,0.0190793217709251,0.0121927021126804,0.0129600974230904,717.7786680994274,-1.0,4478.0,18404.0,0.0892412153001964,0.0835970487727343,0.1358564694557721,0.3565150502661098,0.3146264446487327,0.00581739555793,0.0143463759985243,-38.34733160568342,43.51121605709079
387227,-43.0,2355.0,9501.0,0.6350193080428849,0.0886282027535423,0.0632654240112549,0.1486105506957487,0.0329638194740334,0.0082881102648276,0.0232245847577079,1038.504922784874,-2.0,3964.0,16834.0,0.0541165515841416,0.0480935345216022,0.0711223306118959,0.2986933872180454,0.465595871004034,0.0156060896840071,0.0467722353762738,-45.05734393084987,67.49582028668311
384091,-36.0,2595.0,5722.0,0.5355665598149317,0.1307327127403545,0.1303132276153671,0.1341592836412468,0.0342674564610572,0.0136227681685993,0.0213379915584431,513.9636547920172,-36.0,3631.0,7983.999999999999,0.0976084799687333,0.119363546901154,0.1955932658073396,0.3527566837119874,0.1175694571095998,0.0700066576263948,0.0471019088747909,-40.80964110444864,35.25133668345222
129760,-26.0,2044.0,23860.0,0.6945491861150718,0.1258412127600584,0.0391417922958785,0.1072248344109014,0.01384199838071,0.0059014520350965,0.013499524002283,1388.9219552843858,-37.0,4530.0,21724.0,0.1598064360366582,0.1116232744823536,0.1488727243962972,0.1449877769900019,0.3170913999321992,0.0617531343339617,0.055865253828528,-28.201481157707605,45.14620601417812
425188,-4.0,2587.0,5604.0,0.7419430633847963,0.084563808370258,0.0349534466971939,0.0754618663322848,0.025993084365772,0.0152818160481742,0.0218029148015204,1029.9051756532683,-29.0,3592.0,20913.0,0.0633767603540562,0.0119180611195661,0.1282019803270991,0.4561895531375032,0.3015852148242386,0.0106297765752354,0.0280986536623011,-10.559827786429253,42.92009853241103
439126,-45.0,2395.0,12301.0,0.6703292065234492,0.0624623119176454,0.1017728996109358,0.1193313917331878,0.0219121703459878,0.0083788542294691,0.0158131656393247,902.470751143172,3.0,4377.0,14881.999999999998,0.113789986317605,0.0788275028537849,0.0949472526961985,0.2148747629419131,0.4042971976706956,0.0418144234772213,0.0514488740425814,-44.44564641325326,66.2939952178034
200222,-9.0,2678.0,12562.0,0.6396008437694278,0.1277066657415302,0.0801509331006961,0.1039771539971201,0.0206932564918355,0.0144599441828892,0.0134112027165008,1087.6548251917752,-38.0,4542.0,14352.0,0.106523183286774,0.0241633336480029,0.0815818396225358,0.3026696648957498,0.4126485405333466,0.0314605174092571,0.0409529206043336,-16.65213742792372,66.78003809799668
14161,2.0,2553.0,17647.0,0.6892948414561892,0.0515923708373984,0.0562635380129309,0.1547549520813901,0.0093287153719972,0.0234695138185224,0.0152960684215713,657.1102895937577,-13.0,4030.0,18222.0,0.140913508967902,0.0843971919679504,0.1211544532163539,0.3069141114197986,0.2613770347695188,0.0421137741152789,0.0431299255431971,-4.335513927571924,34.42873936764181
535319,-19.0,2776.0,14488.000000000002,0.6977547645175961,0.0497151955394789,0.1193022320998429,0.0809767642428182,0.0211786237284078,0.0115240593983166,0.0195483604735393,1492.0224520123295,-38.0,4319.0,22946.0,0.104866920948628,0.0203616538252973,0.1196719392055726,0.154900622892236,0.5005285180046672,0.0439817099859869,0.0556886351376117,-26.55890790916783,52.15041492744143
98425,-22.0,2738.0,19675.0,0.739708945143978,0.1146673037944683,0.0817535318705792,0.0371816358101275,0.0086817891356189,0.0086925020608852,0.0093142921843427,574.7755462926598,-24.0,4783.0,18514.0,0.1186207866814972,0.138888463611752,0.0476117254873105,0.2333376475187267,0.3961526744931887,0.0184714313934297,0.0469172708140949,-28.26571827654223,12.60385098239732
168395,-36.0,2253.0,11726.0,0.6591666662701536,0.092618914516335,0.1247543531509882,0.0812291980841228,0.0111993671636492,0.0196729819608679,0.011358518853883,1071.490678945357,2.0,3514.0,20944.0,0.1249899764130637,0.1111884290242206,0.0291576738742831,0.3016170351984612,0.3386852688027919,0.0126415992334921,0.081720017453687,-32.41633845833809,67.59992328382879
5816,-9.0,2479.0,2140.0,0.5875747583113731,0.0722134253763354,0.1675728063438173,0.1248891956282909,0.0141641703155123,0.016856615520448,0.016729028504223,987.294551009511,-32.0,4325.0,15012.0,0.1417571364929038,0.0357869333894435,0.1205315311565216,0.3337031700806326,0.1684146716638434,0.1177327674587735,0.0820737897578813,-28.51953257819372,62.09175543767344
84442,-41.0,2219.0,20252.0,0.6581891445693075,0.1320072729043423,0.1162365752077779,0.0553230369121767,0.015817710094521,0.0146479469670883,0.0077783133447858,134.30218335777425,-4.0,3738.0,1116.0,0.0749427630293164,0.1204422832714862,0.0528053211786871,0.1721164062867539,0.4515938336217023,0.0406785168440235,0.0874208757680303,-42.90828570691068,5.460945086171421
