,"4 temperature, C","4 pressure, kPa","4 mass flow, kg/h",4 Methane mass frac,4 Ethane mass frac,4 Propane mass frac,4 i-Butane mass frac,4 n-Butane mass frac,4 i-Pentane mass frac,4 n-Pentane mass frac,Q-104,"5 temperature, C","5 pressure, kPa","5 mass flow, kg/h",5 Methane mass frac,5 Ethane mass frac,5 Propane mass frac,5 i-Butane mass frac,5 n-Butane mass frac,5 i-Pentane mass frac,5 n-Pentane mass frac,"16 temperature, C","17 temperature, C","16 mass flow, kg/h","17 mass flow, kg/h"
704842,-43.0,2756.0,19328.0,0.57031624891191,0.0634355796158722,0.1629310768931318,0.1503648778719988,0.037105255945436,0.0068306807406782,0.0090162800209727,747.5347949633584,-30.0,3575.0,4950.0,0.0894679419876636,0.0983579338089571,0.1541553485170218,0.1439983694181632,0.4479701964730099,0.0049386693099803,0.061111540485204,-48.684245762740034,46.2866640119654,13112.12589570394,11165.87410429606
226869,-20.0,2059.0,24857.0,0.676381333005792,0.0697336660921298,0.1177797203151877,0.069538265185444,0.0117310798624812,0.0299388593111089,0.0248970762278561,546.8219494957343,-29.0,3690.0,7465.0,0.1949057604717239,0.0656836308983754,0.2303545453416934,0.1838402573262657,0.0387882419659968,0.1228428301377241,0.1635847338582205,-20.7078837428312,53.00070405645283,23828.306528139005,8493.693471860995
651977,-23.0,2354.0,16229.000000000002,0.6531940608594397,0.0394353048944695,0.0917280741076318,0.143908936317414,0.014848209925247,0.0295670229047073,0.0273183909910904,1348.4453232297965,-20.0,4324.0,21621.0,0.1458272106723922,0.0860486170164203,0.0693791452971296,0.1463105957021056,0.4669241119893553,0.0351249959583546,0.0503853233642423,-25.56076464379956,56.16278920224653,16776.432433692044,21073.567566307964
230246,-37.0,2450.0,8614.0,0.6386605481989256,0.0816733760680024,0.0401037399017896,0.1456755965396126,0.0434963579712916,0.0218625230369127,0.0285278582834653,1658.6536362935665,-37.0,4203.0,21285.0,0.0949112608474027,0.028663708204494,0.0680475117280856,0.2205076695904771,0.4952083424373475,0.0092770421421325,0.0833844650500603,-41.22465641465058,66.52701457633879,8481.465399238656,21417.53460076135
197002,-5.0,2591.0,22223.0,0.6144665835723543,0.1065705673538076,0.0817878565669489,0.1354357252158924,0.0240275436108475,0.0162364305449389,0.0214752931352103,1123.3455621827584,-43.0,4230.0,13847.0,0.1668365233606928,0.0336700626298964,0.0958792135928546,0.141612966669219,0.5262046328855314,0.0211633278100584,0.0146332730517471,-11.842417772793112,60.81175698507968,22476.475865759705,13593.524134240295
548674,-29.0,2660.0,11917.0,0.7141700428826131,0.0795927127208452,0.0876872186526075,0.0771071871996519,0.0098258416653693,0.0163546358501036,0.0152623610288091,832.991333671499,-44.0,4415.0,12272.0,0.1604055835977462,0.1289554711721782,0.0590924011187476,0.1471034036280024,0.4063902612128826,0.0413957111359097,0.056657168134533,-35.48283055141914,42.42053279697103,12668.881590197663,11520.118409802337
656000,-18.0,2370.0,10748.0,0.5612987435851128,0.1221311593293853,0.1835702049831041,0.0704902813064038,0.0180784812028231,0.0247154731634619,0.0197156564297086,1097.6207090097805,-36.0,3542.0,13590.0,0.093538069598605,0.0155718785019685,0.0954145633845752,0.1067349881715176,0.5974793826908867,0.0175664046592702,0.0736947129931765,-22.7138791236402,68.26159955945252,10284.134489734624,14053.865510265374
598612,-44.0,2590.0,22235.0,0.7322618028314759,0.057778196726477,0.0474278412029585,0.114539139253484,0.0238270576967128,0.0094631443028579,0.0147028179860337,1618.5027366320498,-46.0,3963.0,20542.0,0.1149966680249303,0.1086452151086529,0.0347077684981809,0.3302426608860626,0.3120256349154955,0.0295795491793326,0.0698025033873449,-48.397388924529565,49.79914468288786,20746.488144073224,22030.511855926776
522340,3.0,2431.0,6199.0,0.5220365817477938,0.1572080998141845,0.1353857319047028,0.1368862193791419,0.0299356092114418,0.0081607439500213,0.0103870139927139,1391.5164930004055,-44.0,4186.0,22098.0,0.2376198125009951,0.0322095506622341,0.2582494687557105,0.1056636664850344,0.2351716783296297,0.0428247519717434,0.0882610712946527,-23.97424469591428,53.184134427204754,11035.340287122412,17261.659712877597
73743,4.0,2056.0,12510.0,0.6312193137180447,0.0315685238517515,0.1392710063554141,0.1358429356243219,0.0269855859460374,0.0124807229506639,0.0226319115537663,536.7226807169586,-36.0,3921.0,8937.0,0.0927838446840263,0.1003154293051974,0.0299515976761248,0.3747317857470406,0.3642787442722538,0.0263866994114974,0.0115518989038592,1.7257737822380932,46.96240261132834,12989.2808257479,8457.719174252099
603476,-18.0,2267.0,16718.0,0.6400717733540792,0.1245986449405112,0.1125189037434574,0.0800030807379824,0.0315382714194953,0.004783798606321,0.0064855271981531,296.5559533943044,-29.0,4080.0,8776.0,0.1746672505197701,0.0727887437199621,0.1217147518749631,0.5253182968978186,0.0188556900044314,0.02730730719608,0.0593479597869743,-21.54938864979325,64.99377365925079,17246.10678494769,8247.893233507695
508722,-47.0,2262.0,15213.0,0.6906596460518464,0.0301305878678219,0.0808670182401402,0.1269887584577041,0.0250448796623612,0.0220072205669006,0.0243018891532256,1252.38405884922,-40.0,4487.0,16105.000000000002,0.0522658740719825,0.0819684896945543,0.0338130562886776,0.4822961111325842,0.3277677530494362,0.0182034424302766,0.0036852733324883,-48.981726631356935,51.58340305305626,12222.615571904158,19095.384428095847
51291,-15.0,2188.0,8517.0,0.6720605366221789,0.0750325728209855,0.0984942706210392,0.0926839952084898,0.032153732568863,0.0205031994905123,0.009071692667931,297.91048555969064,-24.0,4877.0,4388.0,0.0486584894931957,0.0903751765784029,0.114439540412707,0.473021794996575,0.2130299526408696,0.0117267002982719,0.0487483455799775,-16.4860201450752,58.05641323715918,8006.188263790864,4898.811736209135
121733,-21.0,2684.0,11728.0,0.5556342734583273,0.0923555997057697,0.1651835601396063,0.139722818551601,0.0271738485566357,0.0112006848572882,0.0087292147307715,895.6408960647827,-45.0,4760.0,13107.0,0.2071666647939674,0.029415230191186,0.0801451874430601,0.0515184122809647,0.598997709729211,0.0136939187455687,0.0190628768160419,-29.917675954670017,35.43009310216792,11725.356240712124,13109.643759287876
376652,-48.0,2772.0,20446.0,0.7482222115432512,0.0495998962248892,0.090981493013475,0.0487416430056015,0.0302022742463338,0.0113234636598389,0.0209290183066104,679.1599114569028,-47.0,3886.0,7678.0,0.0809572850268424,0.1604605014323637,0.1681366298315192,0.3712998877035961,0.0673748433343042,0.0522965605855556,0.0994742920858183,-54.01558948311191,37.75946159393703,17575.41394583512,10548.58605416487
511736,-50.0,2487.0,11626.0,0.7101476131231622,0.0968152171219022,0.0939062025910715,0.042745407242886,0.0241811028139442,0.0112441121300385,0.0209603449769952,1124.6876323214262,-17.0,4298.0,17830.0,0.1683914923616139,0.016466077069036,0.0491033984141482,0.2586498302547634,0.4047418691370218,0.0263089293292287,0.0763384034341879,-52.4539424499049,67.77922695017452,12913.093571008474,16542.906428991522
595800,-35.0,2701.0,17994.0,0.5415091421131464,0.1214658432168142,0.1541715268365855,0.1363738708755904,0.0240409635484351,0.0071200779495135,0.0153185754599145,1225.9927941892884,0.0,4690.0,15672.0,0.0580177059623681,0.0156861216709703,0.1555437220279564,0.2059233955570462,0.4653466670620059,0.0417403652720063,0.0577420224476465,-40.5215471380248,67.8579148336139,13434.954239526516,20231.045760473484
440477,-20.0,2211.0,21789.0,0.6743700469880968,0.1427751071337218,0.0953080112060073,0.0556105091299329,0.0069840868943677,0.0104484460766311,0.014503792571242,1091.478559823882,-22.0,4209.0,18199.0,0.1131776542242608,0.0724593056771079,0.0838882635260661,0.28228067995353,0.2466361136085278,0.0999128890420221,0.1016450939684849,-22.738684245385656,58.38699586571238,23177.263036286247,16810.73696371374
673014,-4.0,2109.0,17753.0,0.5965214259013635,0.1528431548783702,0.0698693184637351,0.1218002654746499,0.0365714366880517,0.0154935704622034,0.006900828131626,305.97720455261896,-10.0,4155.0,4135.0,0.1046813893800937,0.0375729486310895,0.1092614825131702,0.1650866408139009,0.4222851064491095,0.0694972987875073,0.0916151334251285,-5.1986200448811815,76.13866230603571,17519.17869255831,4368.821307441686
613557,-12.0,2087.0,17536.0,0.6374986541138109,0.1127737107529254,0.0810558634480463,0.1185232050872556,0.0205995638177577,0.0116191414814113,0.0179298612987927,1390.5637356830114,-42.0,3627.0,17944.0,0.0485225090204703,0.021273259373525,0.1145097841872869,0.2510294344425534,0.4876619459132661,0.0115688292058212,0.0654342378570769,-13.12022970525294,66.22290609997822,16956.86090292185,18523.13909707815
634168,-17.0,2389.0,21747.0,0.7383506076437527,0.0932245525662235,0.0454295062641617,0.072760470876492,0.0332863871995997,0.0100602995447427,0.0068881759050274,1471.244762069762,-18.0,4466.0,24809.0,0.0942187114608455,0.0891338827129272,0.0450505970287294,0.5124387393097471,0.1553589442823187,0.0214999322531694,0.0822991929522623,-20.297787583203387,61.29112310712287,23797.68863352659,22758.31136647342
14457,-14.0,2582.0,12050.0,0.7456985286780649,0.0481498463918103,0.0807336914786037,0.0778035776638281,0.0234471098269645,0.0109767635057415,0.0131904824549869,870.486839291329,1.0,4540.0,21149.0,0.1097892081784784,0.0217667872370614,0.0999943813263394,0.3520445150072444,0.3661430649440391,0.0381557719204008,0.0121062713864363,-16.26051460032585,54.72287009963543,14173.085261948045,19025.914738051964
381968,-42.0,2073.0,8690.0,0.7325252189039034,0.030131547481498,0.0894856914867486,0.1137073998534249,0.0038748983185532,0.0213308253671886,0.0089444185886827,692.3845040607603,-6.0,4343.0,11178.0,0.0956695043105867,0.0505685239301985,0.0410282324242439,0.4407198181856047,0.3069672632419867,0.0316228601037893,0.0334237978035899,-40.68751674145523,66.35028228353127,8440.83872525715,11427.161274742844
405728,-5.0,2609.0,18179.0,0.6197766323521277,0.1369624639232189,0.0528888478445773,0.122703287585303,0.0254571806873245,0.0214000136817876,0.0208115739256609,207.1458007082581,0.0,3893.0,3363.0,0.1472977620146967,0.1708102309398355,0.2194821036705755,0.1049903000532288,0.2645484173624696,0.0418182671018684,0.0510529188573251,-9.404529842490264,53.90135271538168,17420.44825257113,4121.551747428881
395709,-18.0,2458.0,16312.999999999998,0.6149391655497078,0.1210220460593372,0.1151477162084381,0.1036010762892836,0.0225221303237943,0.0136716871806943,0.0090961783887444,245.4124521601912,-29.0,3910.0,3164.0,0.1968322366477992,0.0835022756561071,0.2619897147306773,0.3341904528564083,0.0688564667896415,0.0225064182218688,0.0321224350974975,-21.85998009244048,36.60266358419904,14985.884283192769,4491.115716807229
