,"1 temperature, C","1 pressure, kPa","1 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,"3 temperature, C","3 pressure, kPa"
458844,-21.0,3578.0,2686.8271748063144,0.8147782389831191,0.0330958013964461,0.0936974184719073,0.0472567818802063,0.0078431650899945,0.002640725951565,0.0006878682267616,-37.48577026270013,2304.0
543686,31.0,4124.0,21736.0,0.6034059267264597,0.0963444933682898,0.1586939038318283,0.092097935572757,0.0087082775197198,0.0203812693531188,0.0203681936278265,7.4395493556014,2553.0
264306,24.0,4704.0,23449.0,0.7055855201440696,0.0319609240229166,0.1047690905465867,0.1141573543258489,0.0293684923171207,0.009143781298441,0.005014837345016,-10.35660791861119,2181.0
246460,14.0,3584.0,8942.851815082802,0.6469176543877828,0.1041749366625078,0.0591088067362873,0.1351754258825729,0.0203808303912881,0.0157834132817922,0.0184589326577687,1.7209822676265958,2576.0
86915,-25.0,4003.0,1845.2525081738893,0.7813996902794741,0.105354068748819,0.0719353950067959,0.0328699629619544,0.0058669833849813,0.0012010664497371,0.0013728331682378,-46.23630503890584,2303.0
402130,13.0,3830.0,11905.0,0.6872153132109716,0.0385456338673499,0.1162905753989559,0.1195831475542275,0.0182678943515543,0.0068161553605596,0.0132812802563808,-11.148265833348034,2045.0
134633,8.0,4329.0,8598.838560119675,0.7453953778316061,0.0337443017759551,0.0346602471790843,0.1508597177994054,0.0110720181925803,0.0130803730093126,0.0111879642120558,-11.71664646287536,2558.0
223999,48.00000000001478,3676.0,3730.000000000001,0.722614845042537,0.0250203039147772,0.0772148698080144,0.0983186545243429,0.0359498545464448,0.0257257009260866,0.0151557712377968,20.94346237460843,2215.0
452269,-2.0,4384.0,19094.256806627483,0.6315593304999837,0.1611982436880051,0.1351072474563374,0.0592073255717208,0.0037655074003856,0.0054065668541894,0.003755778529378,-24.491706650109165,2371.0
472547,48.0,3808.0,9068.000000000002,0.6860129174530354,0.1141685895200455,0.088367626661999,0.0736525178582136,0.0170259231810753,0.0132307592703235,0.0075416660553075,21.6376880681907,2340.0
