,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","sweet_gas temperature, C","sweet_gas mass flow, kg/h",sweet_gas molecular weight,"sweet_gas molar flow, kgmol/h",rich_amine H2O mol frac,rich_amine MDEAmine mol frac
404054,51.0,159385.0,0.0270297547592188,0.5582822857360716,0.1450031222463086,0.0932651079547254,0.095192281504471,0.0495189956792176,0.0225995875660065,0.0048347099240971,0.003826559589823,0.0004475950400601,0.0,56.0,141929.0,0.0034515351711695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000392421701417,0.6856685929748548,0.3104874501525586,29.14780479486688,5468.164793942518,20.924258430993252,147.80315336326046,49.51663952455273,2866.289016435067,1.1247940125823084,9.893097350962467,52.41589672508991,144617.54732685367,49.36720293023185,2929.425585063717,56.91772614740336,156696.4526731464,28.99086667841537,5405.028225313869,0.6680862371265132,0.3037795803118731
140353,59.0,34378.0,0.0296898311579709,0.6496978347385738,0.065308140370478,0.0502989333198452,0.0909542174736785,0.0387961037334385,0.0310471226526898,0.0074798005393569,0.0350455338206096,0.0016824821933584,0.0,10.0,240643.0,0.0025554866061713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001162618249377,0.9390946198859452,0.0582336316829456,27.457376337166384,1252.0497070751017,43.87875035438481,37.17314440444669,23.9738199095402,10037.74120720069,1.167006111001504,25.651313211215097,22.029356391720626,244027.17312897515,24.07786045977549,10134.919318792769,10.163248116582736,30993.826871026013,26.83746573406905,1154.8715954830502,0.9302720008152188,0.057675253495292
30956,53.0,237643.0,0.0256846409642566,0.7735198114163241,0.0113816710387357,0.0542868764736969,0.0152591331608098,0.0354172659172474,0.0474411416553848,0.0018553606729826,0.0339303495766258,0.0012237491239357,0.0,47.0,505430.0,0.0030837102736071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002684776742959,0.7694268294211584,0.2272209826309387,23.956571032531205,9919.741839401759,336.5803083207827,254.78500760314853,41.08281010900919,12302.71246438331,3.303003629968812,37.938000819652935,64.47919033915394,523443.34217354,40.90032076566533,12798.025354680249,47.354269084251655,219629.65782646,23.304293449771453,9424.428949104824,0.7394441800449779,0.2184258799360205
39902,46.0,173025.0,0.0204281977820619,0.6097997960757596,0.1903703056821203,0.0900557218309834,0.0160326531560438,0.0391047956092907,0.0319558653460762,9.363636553342603e-05,0.0019981367296815,0.0001608914224487,0.0,53.0,345898.0,0.0025233458434297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000342483409646,0.8061093834964386,0.1910247872504857,25.96557844481684,6663.629711455115,13.3148432794554,136.12594569202918,37.40824258065338,9246.571775036819,3.166797429051076,23.332298454513538,53.12724784018701,350248.6588751449,37.45582185571276,9350.980475728767,53.18689039768054,168674.34112485536,25.715605686723148,6559.221010763171,0.7957413546695735,0.1888900811627825
22460,40.0,248716.0,0.0369158175195387,0.5955666227060438,0.1778935249913972,0.0574881082520385,0.0185996049289534,0.0643580874842599,0.0167273281713908,0.0001451392644328,0.0318374816372004,0.0004682850447441,0.0,38.0,432901.0,0.0020399986623062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001560911003648,0.7859939211949944,0.2118099890423345,26.196063811933392,9494.403502204768,302.2778971576154,350.49366714426037,39.49507507974921,10960.885607278326,1.7108966954127727,22.360191976539063,55.84934523296312,451469.7355813871,39.39411488246963,11460.33454307387,38.7001788451405,230147.26441861416,25.5862620227206,8994.954566409247,0.751353294483657,0.2025782839681653
326261,32.0,275444.0,0.0391430109350796,0.6999448716877231,0.083728566152012,0.0127576615064342,0.0615818631652533,0.0769342027025341,0.0134656960397839,0.0025076458799054,0.0093953127894154,0.0005411691418585,0.0,16.0,163168.0,0.0041019058734029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001554919668349,0.8197845970441551,0.175958005115607,25.56544502161686,10774.074136675436,101.2257965304164,421.7297017472449,35.92229006277452,4542.249386519135,0.7062832909644782,18.63187943702356,37.12722917341205,171603.82177689482,36.04655159546317,4760.616874056072,31.259275827192823,267008.1782231053,25.29514954310491,10555.706649138505,0.7818284234961452,0.1678858310290926
495483,56.0,93931.0,0.0262021982894244,0.5929582908032023,0.1233812759298855,0.0698265594161625,0.0388180602354944,0.0865800128729982,0.0236636731455662,0.0077329281973932,0.0293364938616739,0.0015005072481994,0.0,52.0,491356.0,0.002994874923702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002569120725337,0.8770348126120187,0.1197134003917455,28.03569074151194,3350.4079091911967,98.28922106209123,87.78805238708355,30.20608652486272,16266.787807667948,4.179134169133895,48.716994894366174,57.24872923110706,498988.3963011124,30.289367051498147,16474.045015623127,52.19293144737412,86298.6036988877,27.456082097798014,3143.1507012360253,0.8658939292655233,0.1182069605240728
100271,60.0,132839.0,0.0272689921760349,0.5469595186828659,0.1930884171712176,0.0725258214005932,0.0715526292799501,0.0385327610534085,0.0318637660038252,2.6473802236689496e-05,0.0167632479633589,0.0014183724665088,0.0,38.0,538082.0,0.0030984464051307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002480148018792,0.8312859008038729,0.1653676379891171,28.27538099663197,4698.0445644860865,78.75448597739074,128.1109404716344,34.82649260545243,15450.364356121177,3.831919054744847,47.87212589718317,45.06715077932091,545944.0579671471,34.855732829025214,15662.963124175838,38.47748898182027,124976.94203284998,27.86276943359393,4485.445796431357,0.8201421371787252,0.1631226702535851
314095,60.0,270125.0,0.0219662660264966,0.6336213245533472,0.0650335095040145,0.010891068910715,0.0940514651678377,0.081655420417734,0.0444345868697996,0.0072880988932167,0.0391181403527317,0.0019401193041064,0.0,45.0,234157.0,0.0025719762343247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003176795699458,0.7570799335565558,0.2400304106391736,28.88021768364932,9353.288225141483,365.8832415506373,205.45681737595606,42.36595250816943,5527.008980969978,1.755817836161117,14.215335745953963,74.43691886690846,250372.8962341853,41.92032437162728,5972.589668310007,60.999815191544485,253909.10376581465,28.50442750711179,8907.707537801449,0.6995318658966351,0.2221126167585028
363119,48.0,23411.0,0.0389176304455763,0.6814177276392063,0.178682750861882,0.0321843329099478,0.0228506468980069,0.0277088069649202,0.0017537733766671,0.001870522757384,0.0140485106065739,0.000565297539835,0.0,23.0,455838.0,0.0010919012117321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001751973626868,0.980439357515931,0.01829354390965,23.12588625678813,1012.328770454286,14.221711469066951,39.39743697796454,19.89684243410811,22910.067339055815,4.013783376779573,25.015530288379054,26.53430271924924,458627.1198256418,19.94595989209232,22993.48451048811,23.643702683046456,20621.880174353704,22.200045942011844,928.9115990218928,0.9768839715832116,0.0182271769997483
