,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","sweet_gas temperature, C","sweet_gas mass flow, kg/h",sweet_gas molecular weight,"sweet_gas molar flow, kgmol/h",sweet_gas CO2 ppm
430193,33.0,185239.0,0.0235612424343303,0.5303637182063854,0.1234921679248826,0.0939144016993345,0.0854786436007202,0.0866948456605844,0.0234790546888975,0.0096063369654102,0.0232931790103781,0.0001164098090764,0.0,34.0,237937.00000000003,0.0010751662909536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003914463308344,0.8163426953485368,0.1821906920296751,30.59048808097655,6055.444408394237,141.05055059212006,142.67379375378644,36.47782921222227,6522.783979707784,2.553319855682018,7.0130774581539805,38.68538486087687,246371.83428721747,36.496261004414784,6750.604788184056,37.73610258841734,176804.16571278204,30.33898169320188,5827.6235999179535,23329.137754977703
114619,54.0,106152.0,0.0225477454807384,0.595545257258186,0.1738157751016537,0.0008661160768869,0.0699917783631747,0.0815724874331836,0.013934595451228,0.0061208528639456,0.034975524908053,0.0006298670629498,0.0,58.0,105260.0,0.0025717200253601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002114066300224,0.8627186889235552,0.1344981844210622,27.27109742133246,3892.472618903997,136.14127303639106,87.76648190179057,31.68981413034568,3321.5720220714275,0.7022023475628093,8.54215328483693,70.81948306692539,111390.2317076825,31.939553498305344,3487.532526514269,63.31776513585783,100021.7682923176,26.84058584008666,3726.51211446116,28218.7891583317
236814,19.0,73720.0,0.0210561304830752,0.6737101030619121,0.0947702043922034,0.0337151455733935,0.0403042971599029,0.0849862414449402,0.0378880932977885,0.0018848949579401,0.0097777079771437,0.0019071816517,0.0,39.0,132489.0,0.0020396211797374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003479126265221,0.8182902716665756,0.1793221945271648,26.590817516262184,2772.3856160087953,27.107576953367648,58.37571328008201,36.21205615324144,3658.6986234456213,1.2729074477357578,7.46235920265576,32.10058899324633,135192.67946768957,36.22689738033192,3731.8315738815527,39.4072257579644,71016.32053231001,26.30962319240256,2699.2526655728548,17838.24761418194
17498,36.0,289243.0,0.0294685755121458,0.6538451258233948,0.1137239649723085,0.0690556701910923,0.096864893614968,0.0163832988227717,0.0146479837283215,0.0012953271053032,0.0038505037066436,0.0008646565230502,0.0,31.0,360688.0,0.0046459943206333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002873416408332,0.9326299819263344,0.0624366821121988,26.13063373685855,11069.115388196975,42.62166983151816,326.1910626697376,24.45604248738631,14748.420566656769,4.23783536532127,68.52107819099871,40.90741376585248,368462.0284372632,24.65422048037721,14945.190772936,32.47194183528478,281468.97156274103,25.88852421930656,10872.34518191784,35004.47146070826
285407,35.0,184529.0,0.0191444370258824,0.8309172877260718,0.0345104928191624,0.0140284061612967,0.0671002077229951,0.0167200839257372,0.0047456791784129,0.007125395065579,0.0048844373982474,0.0008235729766147,0.0,13.0,108851.0,0.0011027925427083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003214050416409,0.7579425367052502,0.2406332657104004,21.73880083688603,8488.462697854718,41.461364655029605,162.50683956563148,42.38879951309245,2567.9189137304925,0.8253420853980037,2.831881828341585,40.662030093979126,114627.0653372184,42.2589089915333,2712.494668525027,31.742022240752647,178752.9346627817,21.42322108180706,8343.88694306019,16189.89414232512
140806,37.0,232043.00000000003,0.0339437468081726,0.7084453555908159,0.0163831334724121,0.0726996709250904,0.0876994831617722,0.0573956303998162,0.006005281783325,0.0086903974761745,0.0076063580912028,0.0011309422912179,0.0,29.0,166989.0,0.0023403595526029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002889054442627,0.8615380108539075,0.1358327241492268,26.33104566235576,8812.52506928507,67.031221364684,299.1301196924861,31.82003183336172,5247.920582685286,1.5161528273960598,12.282021066988884,46.99675796899129,178904.36167840014,32.31428048043189,5536.386978714775,44.8141276098882,220127.6383215999,25.8242753551492,8524.05867325558,19682.20354567724
89427,30.0,136662.0,0.020716268110152,0.6044432987960713,0.173940934400328,0.0423041820855203,0.0317628059813582,0.0991459125158474,0.007940711068561,0.00216077243859,0.015747177757202,0.0018379368463695,0.0,50.0,362396.0,0.0023434760336698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000391881147183,0.959533823940094,0.0377308188790532,26.61195512429322,5135.361132307244,80.8674445978683,106.38551805933062,21.89890871103763,16548.587182216197,6.485079329224773,38.78121745261891,48.27633908759606,368720.194485053,22.05345040390416,16719.388020106722,50.29735131418738,130337.80551494702,26.25364539565136,4964.560294416718,13628.334749384743
143400,57.0,212520.0,0.0204280881502696,0.6549264523701425,0.0655346086323102,0.0326202531479539,0.0881886166060235,0.0910175900343353,0.0149100478325744,0.0095427953180681,0.0210396572352482,0.001791890673074,0.0,35.0,340937.0,0.0037013647433634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000255084862821,0.8072381631993255,0.1888053871944899,27.7446116978525,7659.865717870169,161.16094917201673,156.47641210387994,37.21297147683979,9161.778446319147,2.3370309981757145,33.9110837277124,59.338745704935775,350727.0914129212,37.18278170877755,9432.513526284314,35.7084590470302,202729.90858707792,27.436232829219165,7389.130637904986,21393.17370514345
441029,32.0,144586.0,0.0069370339430348,0.7417499703232364,0.0140309972584513,0.089626162822991,0.0739376976018526,0.0190833173813417,0.0219905467113352,0.0046340792978068,0.0276763289339367,0.000333865726013,0.0,39.0,315146.0,0.0032638085809884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003020097857589,0.8937640107308072,0.1026701709024453,24.85607103801146,5816.928982013691,160.99123989156047,40.35223379245184,28.489905135981136,11061.67249402275,3.340733340054928,36.10318160607481,42.02309917769514,322031.5464195701,28.59655853497262,11261.199351164458,38.94103671387995,137700.45358042992,24.513191421838616,5617.402124871984,6083.808281048767
105801,39.0,254203.0,0.0119226384993241,0.688848896726418,0.0734142481648778,0.0516428445313291,0.0780074500421606,0.0863495102179379,0.0068634676324276,0.0004440383972156,0.0018829589862303,0.0006239468020784,0.0,33.0,159992.0,0.0010115396277222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003853320262113,0.8159519896333848,0.1826511387126816,26.216199510875903,9696.409271471359,18.25794097188379,115.60678248524758,36.52265051367286,4380.624016871512,1.6879947284909838,4.431174787217138,39.61533271447502,162348.64623831422,36.55509092767517,4441.204825875652,36.64605078541098,251846.3537616858,26.13645051306792,9635.828462467218,16784.41085917904
340824,36.0,261484.0,0.0357678758628031,0.5918392585118719,0.1061446662359254,0.0481171737864066,0.0899407858220553,0.0721558124156111,0.0229871694701667,0.0082060112225539,0.0233287107586613,0.0015125359139443,0.0,32.0,434632.0,0.0040346524839424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002932345328134,0.8468176976195251,0.148854415363719,28.87694128158965,9055.114163587257,211.24413920898436,323.8821993266991,33.18126799196063,13098.71582078495,3.8409958141633664,52.84876632278561,46.35703509762982,449775.4459107059,33.3021823448579,13505.885027386337,33.18036250566786,246340.55408929536,28.48544426618936,8647.944956985904,37461.95805940253
213216,21.0,71856.0,0.0204348459716112,0.6402226110180029,0.1705107356696355,0.0684840738886315,0.0516928881852261,0.0052788360501565,0.0380270309140347,0.0010032767786135,0.0038157383306316,0.0005299631934562,0.0,48.0,132323.0,0.0048972821411045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003361473874466,0.8557252022699962,0.1390413682014527,25.584409867158584,2808.5853991980453,10.716826962572236,57.39301003072821,32.21180629487502,4107.903753942943,1.380861114770001,20.117563691560907,40.07174084693895,135084.34599074826,32.353578295926866,4175.252108288579,48.227876576138215,69094.65400925175,25.20564726023972,2741.2370448524093,5073.71788916382
260831,11.0,113915.0,0.035426568693059,0.623701882981863,0.1420447282451123,0.0533394949506398,0.075262339013857,0.0048776225149012,0.0246193416479733,0.0030935195673182,0.0357346371527552,0.0018998652325204,0.0,17.0,363063.0,0.0016753961523074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003025502441919,0.7919239304656797,0.2060981231378209,26.09796372681798,4364.899928301387,155.97811514593724,154.6334271482974,38.91020395878584,9330.791490698963,2.823033244014674,15.632772161499672,23.15105008719013,373068.174513412,38.82192629790456,9609.72857582156,17.559713090769378,103909.82548658816,25.43092766006373,4085.962843178791,32425.74799468172
279628,42.0,135770.0,0.0066290417280417,0.7394463355923498,0.0514819763986204,0.0656650815809273,0.0917716458312533,0.0084560079285705,0.0093003030949361,0.003586126361867,0.0227872204123899,0.0008762610710433,0.0,12.0,472931.0,0.0008446375798469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003064624794589,0.7995835054880228,0.1992653944526712,24.14589787968923,5622.901276088202,128.1302907353303,37.27444719184762,38.19755152402269,12381.186257516285,3.7943690391208995,10.457615196182251,26.35909187639976,479181.4570478154,38.11997655742426,12570.35025522569,11.72554568997498,129519.54295218446,23.83618057272504,5433.737278378794,6380.160625279462
292897,40.0,288264.0,0.0187544683012629,0.7699585738213327,0.1206484267626195,0.0044409837672022,0.028166436982135,0.0224385875999384,0.0121663951699997,0.0025251531001359,0.0204467402039948,0.0004542342913783,0.0,36.0,318191.0,0.0018547575940334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002958546383151,0.8487835209323111,0.1490658668353401,21.707709608717312,13279.337396527539,271.5191618279913,249.04691226495072,33.14603276178228,9599.670714344962,2.8401071071365864,17.805062157651353,59.33285994148344,336375.24592152826,33.37333827639159,10079.160889921557,38.58655971554174,270079.7540784716,21.100232636871,12799.847220950942,8277.263013275162
298097,10.0,291533.0,0.0393790065214337,0.675063862391976,0.0188148594734837,0.0598606701663151,0.0922373414519522,0.0908167981461311,0.0018220093777348,0.0019054427470943,0.0184887926178764,0.0016112171060023,0.0,17.0,261568.0,0.003529026238359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002633045480037,0.9385965313290192,0.0576111378846178,27.336178051116104,10664.731531045067,197.1780096028197,419.9665325103633,23.938524780084023,10926.654938136164,2.877037939678339,38.560451974177454,18.083342175771747,284683.1981824652,24.72569996143537,11513.655776236268,26.27938735954029,268417.8018175347,26.63474645194118,10077.730692944968,11908.622335172484
403034,19.0,203299.0,0.0394796925981258,0.5513329285584216,0.185387171528588,0.03364392900632,0.0752605033830211,0.0580097550900689,0.0300153101621887,0.0078393705364587,0.0186282628628822,0.0004030762739245,0.0,11.0,172608.0,0.0019667389237845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003840294548517,0.7708930367513842,0.2267561948699795,28.75999502954372,7068.812070070283,131.67968936958368,279.0745275602961,41.00861892361065,4209.066399469045,1.616405474822705,8.278134720629248,26.47358584595776,187623.62358838867,40.91826595185824,4585.326851561461,27.786656008508714,188283.37641161145,28.133272204555738,6692.551617977874,14001.666081422152
62138,56.0,101680.0,0.0148189824377922,0.5137410323593434,0.1285544860657896,0.0906360607050769,0.0955393401601818,0.0720745925119347,0.0457288265217621,0.0026659696114587,0.0356973617438318,0.0005433478828281,0.0,14.0,252434.0,0.0035427625571638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001269780045405,0.7408109920602083,0.2555192673780873,31.21673802691562,3257.2269374311213,116.27440826723212,48.268788781695456,43.95479802296232,5743.03628623493,0.7292392876297953,20.346213919306155,53.26463468830156,259040.0559539483,43.718236215236736,5925.217446527893,-72.24327354332098,95073.94404605174,30.917895516512896,3075.045777138157,3849.013114753514
92560,39.0,131208.0,0.0191729476530018,0.5398916978585725,0.1373418827217583,0.0984849548111572,0.0768284994047239,0.0739231820506295,0.0189046134494271,0.0009634609182139,0.0334229032360705,0.001065857896445,0.0,49.0,548879.0,0.0025952785224945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003304926491413,0.8665019873712421,0.1305722414571219,29.33181979262772,4473.230809667592,149.50836050412923,85.76502015355162,31.29523666623613,17538.73938880212,5.796424443204078,45.51791364738646,50.56727078653592,557922.5024111732,31.36081343481909,17790.434663653414,49.48023503613143,122164.49758882725,28.938403237707952,4221.535534816302,8408.672798030551
63002,30.0,110304.0,0.0129595640474746,0.6504355474100604,0.1151726133734123,0.0432318220034231,0.0740157669927303,0.0407253976737601,0.0495922447189989,0.0015286865116112,0.0110637488152373,0.0012746084532915,0.0,42.0,36345.0,0.0013715173531393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003834418000714,0.8747184779910279,0.1235265628557614,27.13227303016589,4065.416851635065,44.9787508757232,52.686030068447174,30.55161661377629,1189.6260829487944,0.45615236665777437,1.6315928165114038,32.33971754647439,38714.14747553857,30.845979191756506,1255.0792190732207,39.58065629458309,107934.85252446188,26.98395790589879,3999.963715510649,17306.424634670435
170535,26.0,195666.0,0.0100431242038766,0.7288886244877495,0.01872162144121,0.0554442498403684,0.0780903920049648,0.0554699391383983,0.0236566719484157,0.0063883481056213,0.0224502549706606,0.0008467738587344,0.0,30.0,150426.0,0.0045322889301582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001071598381367,0.7783628908913863,0.2169976603403188,25.85437097062293,7568.00466050115,169.90363424739854,76.00641078093001,40.08379987647572,3752.787920894736,0.40214814616444283,17.00871915110262,39.34695161159186,158929.10518220128,39.84897338254521,3988.2860633949476,36.69495433233175,187162.89481779863,25.525090821034127,7332.506518000938,5838.359820429479
467865,16.0,49749.0,0.0243937640336311,0.7279418401180279,0.0592164998897167,0.0849554940416723,0.0555424631186509,0.0242123579475285,0.002538326772289,0.0029380423367871,0.0171236020397304,0.0011376097019657,0.0,40.0,691954.0,0.0028447232452878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002550116456668,0.820409596142588,0.1764906689664573,23.913463225760168,2080.376210268413,35.6235343175588,50.74820637446739,35.94508728554071,19250.307962900562,4.909052713211977,54.76179854101207,40.07176145415667,696471.1286068675,35.933390403672014,19382.282628574216,40.162032073354055,45231.871393132,23.214861186398668,1948.4015445947555,4868.11490560843
17800,40.0,289479.0,0.0362771686864003,0.7407591774871385,0.0660669626109257,0.0086039612931849,0.0874111481764214,0.0063072250788526,0.0178128227766475,0.0037605446143872,0.0310771877053332,0.0019238015707083,0.0,32.0,297568.0,0.0043067823817006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001031731592952,0.8067716752919607,0.1888183691670434,23.94396897346949,12089.850280074697,375.71854648325655,438.58553800359374,37.22758141996321,7993.213328664693,0.8246850720388382,34.42503033706751,60.93896518729247,317267.5449916771,37.14850763326331,8540.519261871807,35.19005887225302,269779.4550083245,23.37261585497278,11542.544346867619,51299.74406757306
356550,25.0,95945.0,0.0205970537569025,0.6183731079508052,0.1213137137177371,0.068484876571461,0.0993924627134866,0.0450673633348286,0.0001401077265736,0.0084203755972972,0.0164654563548673,0.0017454822760404,0.0,58.0,612856.0,0.0033319026822247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002546221819443,0.773227378755142,0.2231860963806886,27.101444587384783,3540.217189922806,58.29129162742492,72.91804377195034,40.68091652969973,15064.95065204775,3.835870605907603,50.19494948514065,55.72793501464423,619092.2499890958,40.64242843042864,15232.658920685624,58.45057822647789,89708.75001090427,26.60000376714355,3372.508921284926,8741.181246738557
218023,14.0,152532.0,0.0300155124992912,0.662396104040095,0.1303535220180773,0.0346950919951642,0.0383948749248229,0.0675807355287885,0.0183099076830367,0.0035155985079493,0.0141463352343776,0.0005923175683967,0.0,58.0,378796.0,0.0038786971530772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001504150832805,0.8470946427843422,0.1488762449792999,25.624438368126096,5952.598757822242,84.20745754389311,178.67030241867877,33.17712741746047,11417.383887209207,1.7173467482400118,44.28457437890785,46.72330852732432,388993.018094424,33.32767210696065,11671.77283927913,57.88230627959536,142334.981905576,24.97889455770643,5698.209805752318,7690.3458832902525
34503,18.0,183513.0,0.0180578098173309,0.6867902884167149,0.1378285416074277,0.0755406954223771,0.0138594738545096,0.0005136727821084,0.0407918722913304,0.0074519380789341,0.0176858234420311,0.0014798842872353,0.0,50.0,534614.0,0.0022914575076195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001477076538813,0.89302158019743,0.104539254641069,24.233916000021,7572.568956657313,133.92711757004687,136.74401004794163,28.651205205079904,18659.389584952332,2.756134658450473,42.75719835203613,45.27071898445018,543779.9797733577,28.75273448444541,18912.28745799919,50.18715664427344,174347.02022664194,23.818969218032752,7319.671083610458,12996.483662923858
454565,10.0,233344.0,0.0069870032926516,0.5303028959799349,0.1855110042662566,0.0995629158291356,0.0712012735042988,0.0394676040227141,0.0298087384417678,0.0077199023142164,0.0288233575867846,0.0006153047622392,0.0,25.0,362892.0,0.0043071914293454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001964833660518,0.9070953968742484,0.0884009283303542,28.917238405126824,8069.373594078394,232.5864406034788,56.380739871461614,27.07201972460724,13404.688814929741,2.6337983792343094,57.73656077670752,14.45352313008209,373765.81867408974,27.236000007678456,13723.227293608332,-0.7754268663441053,222470.1813259108,28.70273693268149,7750.835115399813,1336.810253779669
14483,16.0,252543.00000000003,0.0217756358202755,0.6225676775425758,0.128001449398047,0.0625223791989384,0.0239191547541684,0.0641375827336734,0.0430765855059962,0.0077646155569344,0.0252188693162519,0.0010160501731387,0.0,30.0,327320.0,0.0024575556133158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001709868546346,0.841862684959391,0.1555087725726585,27.216196833630065,9279.143649047313,234.009511052053,202.05925282567657,33.81138612833023,9680.7625324104,1.6552831358813391,23.79101230270246,25.52387047114684,339627.33831287385,33.87292049136508,10026.514790758949,31.298167427078624,240235.66168712743,26.891876912194213,8933.391390698793,25952.52739520193
190365,24.0,77805.0,0.0346026354391321,0.6964249218072044,0.0046561762743997,0.0750991031230188,0.062478060712129,0.0709957314678715,0.029334657190909,6.184508785148646e-06,0.0252481747133698,0.0011543547631803,0.0,25.0,592942.0,0.0044669017534843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002784995535379,0.8859783206831747,0.1092762780098029,26.903253432456665,2892.029404374356,73.01846367784654,100.07183915881619,29.18899892864486,20313.88611337786,5.657408213195481,90.74013349992792,28.625378492165737,599927.5899844093,29.25046970422609,20510.0156014839,25.461128243564417,70819.41001559423,26.26930235363526,2695.8999162683863,14112.41575543509
