,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h","lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,rich_amine H2S mol frac,rich_amine CO2 mol frac,"rich_amine molar flow, kgmol/h","rich_amine H2S molar flow, kgmol/h","rich_amine CO2 molar flow, kgmol/h"
262989,36.0,21712.0,0.0335186016264025,0.6910497390571255,0.1419200437590428,0.0016928961160054,0.050392053969995,0.0417640468439624,0.0168221834032277,0.0028121341140362,0.0184301000839531,0.001598201026249,0.0,892.2642151692124,16.44451878689845,29.907448773751515,39.0,222067.0,0.0031108260526057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003760328797934,0.9314734621403448,0.065039678927256,8997.542387472167,3.383371775024343,27.98978926837251,41.32866262478865,224110.9258764704,24.75027797843623,0.0021885013466613,0.0060572397878636,9054.885204591556,19.816628464112103,54.847610935789405
232145,36.0,163056.0,0.0273516916501656,0.7981440314676568,0.0178935791430777,0.0169103400272136,0.0330730991055131,0.0831363941356023,0.0116815476318489,0.004235007327626,0.007446132710011,0.0001281768012848,0.0,6953.0871109264,51.773609372224946,190.17869467479966,37.0,554948.0,0.0022053712892338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003401880709581,0.8902723822658087,0.1071820583739992,19189.487670178536,6.5280347931922815,42.31994516291775,43.03758604002843,564971.8713531927,29.05805727935318,0.002995851703194,0.0110530628911471,19442.864535704048,58.24793883425919,214.9032044971904
168997,16.0,166697.0,0.0118486283493254,0.6612072628622315,0.0762958618573748,0.0441643609015234,0.0689846029464547,0.0875661647590452,0.0222319833380405,0.0061803810029323,0.0214173854494237,0.0001033685336481,0.0,6116.92629007163,131.00856812017744,72.47718625127656,53.0,494177.0,0.0021404708690934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003001142580976,0.9776611492894224,0.0198982655833866,24600.09097205521,7.382838051211818,52.65577810273172,42.13386930090178,501750.3165247446,20.225788409326405,0.0055701494014185,0.0047073406059887,24807.45404680394,138.18122530952192,116.7771357657189
139544,33.0,296483.0,0.00784062989711,0.7162286315551685,0.062073970174725,0.057707428619648,0.0208448496620619,0.0819830458028871,0.0202751924612669,0.0053295684473629,0.0257509458300436,0.0019657375497257,0.0,11867.038873757241,305.58747520114434,93.0450597837476,33.0,689288.0,0.0021013279955091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000394168412972,0.8354505140161583,0.1620539895753603,19998.055758065497,7.882601900682243,42.02247442017499,40.31898900818976,704840.9752064437,34.466939528668,0.0153236116160379,0.0061478283201759,20449.769687853768,313.3643283340958,125.72167322806207
117998,14.0,251342.00000000003,0.0110496583045082,0.7389869087062708,0.0586362141398624,0.0720845882794151,0.0185472286194797,0.0553989565766279,0.0226132647365923,0.0083893689131026,0.0132895836173159,0.0010042281068247,0.0,10347.80175550911,137.5179766852466,114.33967360116577,22.0,292856.0,0.0022020840983359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001779043743857,0.8288622259268861,0.1687577856003922,8332.798894846519,1.4824413742695224,18.34952394097248,22.021102481239097,299854.0748933574,35.122989973536896,0.0162785633610016,0.0066232849290359,8537.259359732181,138.97431741670425,56.54470125258484
23304,21.0,109845.0,0.0375018209520877,0.8270379983265272,0.0083164222518578,0.0126025477702745,0.0227137667660134,0.0527157043611117,0.0086351804804551,0.0011990757080104,0.027387100913209,0.0018903824704527,0.0,5042.128731706145,138.0892883926267,189.0890089138209,52.0,504039.0,0.0015527331541255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002152444559464,0.8891471575651998,0.1090848648247281,17325.173355307797,3.7291475130402922,26.90137106975815,53.63968634906109,515593.9588314503,29.238827355967715,0.0080405045297271,0.0095741823176589,17633.879517613976,141.7852881380371,168.82997746926716
243538,17.0,123561.0,0.0186588895534108,0.7608450382338411,0.0133540616757344,0.0631489800167741,0.0257136049076958,0.0661484797437546,0.0104269501243363,0.0002867955097077,0.0395591736660262,0.0018580265687186,0.0,5211.897004030805,206.1783387118963,97.24821056196343,58.0,211734.0,0.0012896436174375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003539454772178,0.7710902149388597,0.2272661959664849,5158.943950130519,1.8259848783688286,6.653199138003628,55.16241927985766,221283.4350026273,40.78337146608659,0.0382947243802558,0.0103283172695989,5425.82496365303,207.78047151860423,56.03964167391842
494664,26.0,252083.0,0.0248893612407156,0.7417305523846176,0.0255494889664024,0.0842947825061837,0.0125376107586538,0.0469592856008155,0.0412673728631559,0.00453081738477,0.0169137887662448,0.0013269395284404,0.0,10147.03338213634,171.6247792294886,252.55317936959153,22.0,680419.0,0.0015495056759002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002950318086378,0.8527381992752449,0.1454172632402171,20764.084803233338,6.12606549420659,32.174067257483145,29.03241468558855,693178.5127301632,32.81865480865088,0.0084140208678032,0.0075900761750318,21121.47852408149,177.7165610604788,160.31363092707673
224399,40.0,158781.0,0.0327133412952368,0.5508337125767778,0.1900606471981009,0.072310635026597,0.0380119928387185,0.0761998354127365,0.025141969339715,0.0005082849203052,0.0125932802453982,0.0016263011464137,0.0,5644.97323706656,71.08872995215184,184.66593610663605,57.0,320275.0,0.0047454363627016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002950499914908,0.8770468860782069,0.1179126275676005,10650.960202103508,3.14256571699949,50.54345384074957,59.221658420898905,330211.0424553709,30.30108263792472,0.0068005155318641,0.0193681325427438,10897.664826077205,74.10973891078712,211.06741675786037
29030,60.0,249736.0,0.0055102305892618,0.777131723117218,0.078688820698264,0.037057709916007,0.004218625063485,0.0404286374437901,0.0289716868837903,0.0007583336317176,0.0268305189001787,0.0004037137562869,0.0,11162.937075968619,299.5073941982816,61.510357342006955,41.0,672251.0,0.002127810303453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002170442706436,0.9580941918351724,0.0395609535907308,30452.206470376157,6.60947694285111,64.7965186905445,50.49955164745848,684514.0793774755,22.215691306171777,0.0099317059826627,0.0032452389927067,30812.189003873562,306.0176018687049,99.9929172060191
