,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","sweet_gas temperature, C","sweet_gas mass flow, kg/h",sweet_gas molecular weight,"sweet_gas molar flow, kgmol/h",sweet_gas H2S ppm
318137,54.0,4310.0,0.0268160976102463,0.7099098433142318,0.0745599515310142,0.0650188629909105,0.0341038636556172,0.0234764100412233,0.0237487719649932,0.008171199819286,0.033748591194084,0.0004464078783931,0.0,46.0,188099.0,0.0022665206505236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003274363415921,0.8682132466497111,0.1291927963581731,24.48623460393433,176.01726315680605,5.940334657380551,4.720096109901321,31.14711288368503,6039.05089702638,1.9774047324108077,13.68763356767336,47.373238988004914,188805.6533621349,31.14537382827502,6062.0769685779005,46.49331017964573,3603.346637864974,23.552641168791045,152.99119160528244,16.7057010157185
371424,58.0,20122.0,0.0212433927999884,0.5279516016966566,0.126087708494817,0.0518611920554206,0.0802350745658556,0.0973198616233677,0.0445424233370623,0.0096109698607825,0.0398939602995716,0.0012538152664773,0.0,50.0,274583.0,0.0031408822122242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002460405038378,0.8116175127680165,0.1849955645159214,31.092556462667726,647.1645399811406,25.817956465298142,13.747970529043165,36.81289891736966,7458.880122870242,1.8351866234967458,23.427463901035797,52.4772273680839,276675.3684756936,36.79764156972388,7518.834269621637,50.54353213925555,18029.6315243064,30.703869911328844,587.2103932297467,24.611947770933103
210463,18.0,258947.0,0.0052601564548687,0.657272805127826,0.0949058025276959,0.0777015914306414,0.0330414450164298,0.094639374106252,0.0175091814658866,0.0075265342787117,0.0108025549600756,0.0013405546316118,0.0,38.0,472440.0,0.0038714662057266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003059167472171,0.8405782622817186,0.1552443547653376,26.676020469266945,9707.107561201981,104.86156293324981,51.06090449616137,33.82356246081959,13967.777656397468,4.272977106496802,54.07577916584588,27.747572141694604,478902.5120506826,33.82856013186125,14156.751283056556,37.845081771769344,252484.4879493172,26.526679461087323,9518.133934542891,15.53864526030267
332401,41.0,81880.0,0.0199528923594247,0.856044681679899,0.0270484215049449,0.0004826035415583,0.0166883080137495,0.0109010046484968,0.0350398678372279,0.0001673586503865,0.0327184222951701,0.0009564394691418,0.0,25.0,216277.0,0.0013186447878614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002311928965922,0.9054979917722452,0.0929521705433011,20.722191385561747,3951.3195528659267,129.2809417538301,78.84025371602398,27.45524278525904,7877.438990126907,1.8212079378557744,10.387543866027016,39.88977603537211,223004.62871542096,27.640022638686744,8068.178222230882,25.63609062411996,75152.37128458038,19.984248406999267,3760.5803207619797,3.916938373221391
170116,40.0,273019.0,0.0066636948702058,0.7729072173696735,0.0655777926426794,0.0853155827369855,0.011045456732353,0.029394114240262,0.0247927860825716,0.0002311487362204,0.0029728858541994,0.0010993207348491,0.0,47.0,572669.0,0.0015169138263617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001298943857956,0.7655729438066673,0.2327802479811753,22.70394915939337,12025.176681081628,35.749477649436066,80.13210816304205,41.60216666525541,13765.364785153653,1.7880436040199152,20.880872167512027,46.35785887538623,577802.3629028657,41.55516983493081,13904.46399805522,47.03025382192169,267885.63709713466,22.537766375348376,11886.077468180067,13.60561964971121
329788,58.0,161870.0,0.0068089102830929,0.6519690370734538,0.1246424960398174,0.0232334027451346,0.0248220633046598,0.0951548560404969,0.0295687330090537,0.0050271837534113,0.0372586467332067,0.0015146710176726,0.0,13.0,108732.0,0.0023277184568385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001702805123042,0.775897231264667,0.2216047697661902,26.29821226696465,6155.171247261482,229.33335108410682,41.910008799676454,40.49350937545975,2685.1710725248913,0.45723230585395663,6.25032226528502,66.93045108880199,117216.66063219312,39.98401362047462,2931.588152825407,44.481912369742304,153385.339367807,25.95899829873904,5908.754166960969,1832.284283429376
171898,34.0,240874.0,0.0390903102663681,0.6461702894498706,0.1116869288594737,0.038718245991289,0.0545083480786412,0.0674204520133031,0.0308649839302609,0.0003326089459825,0.0105913007674192,0.0006165316973913,0.0,47.0,341625.0,0.0043141616070278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002086483143436,0.8041782454707368,0.1912989446078916,26.862347175332964,8966.975165192887,94.97193094853634,350.52184135820727,37.48037430187679,9114.770232774688,1.9017814446976613,39.3225917951164,53.12684374491073,357798.0433972794,37.63408657308118,9507.28650481461,48.03085461455356,224700.95660272063,26.205846853164463,8574.458893152963,24.0573067273322
335089,43.0,27958.0,0.0193425323231427,0.7143280504885625,0.171173683486152,0.0143822304490361,0.0006573422492791,0.0337405535369052,0.0132001640860532,0.0092144176871244,0.0220206749350058,0.0019403507587385,0.0,25.0,630090.0,0.0035320398463152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003322800827663,0.6681649336421697,0.3279707464287487,22.494394776661164,1242.8874071778782,27.36921957427625,24.04058984736513,51.28617477733698,12285.76712409506,4.082315716841794,43.39381902485305,27.24013305357755,633187.2958827983,51.12960007752466,12383.967309009566,24.89348075648581,24860.70411720174,21.7183381046614,1144.6872222633783,50.85493106838958
500115,24.0,252323.0,0.0200401114556897,0.5575754841626057,0.1833237838494159,0.0637482836053565,0.028943130569063,0.0976446091226449,0.0047138780261505,0.0090969363185869,0.0340346989904031,0.0008790839000835,0.0,56.0,186184.0,0.0033926527937605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002660701807408,0.8191506209918287,0.1771906560336699,27.68053603883452,9115.538790361661,310.24461886530236,182.67641333751055,36.0303107520749,5167.426983384486,1.3748982314339973,17.53128559173277,37.86712853035232,202825.2305550602,36.14726037390169,5611.081682458568,59.9655482105631,235681.7694449399,27.177689065485005,8671.884091287582,49.37017584907778
250076,31.0,86143.0,0.0247189920827364,0.6601042988361852,0.1353898752043365,0.0532774802598045,0.0036578939307784,0.0446078884930547,0.0353536173050409,0.0026737103349194,0.0390576022081297,0.0011586413450141,0.0,26.0,309932.0,0.002908650732611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002922945536091,0.8219606218335698,0.17483843288021,24.99933249462895,3445.81200392081,134.58515453313726,85.17699964351655,35.78022689073216,8662.10270120671,2.5318854423653945,25.19503136781662,37.25606150459322,318506.6633821402,35.79313680318987,8898.540106542298,26.99494755468919,77568.33661786004,24.169299729627703,3209.374598585231,9.532314828681066
469945,26.0,129909.0,0.01099210474369,0.6811541392674054,0.1023571553088363,0.0472200468653858,0.0283509460845561,0.0675560160030167,0.0252553348286591,0.0058312263084731,0.0310153294637507,0.0002677011262263,0.0,45.0,205546.0,0.0037862878692861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003422024386204,0.7564664123042188,0.2394050973878746,25.450661521354995,5104.346694131966,158.31299441570962,56.10751351000635,42.33466247047976,4855.264882372183,1.6614834828957505,18.3834305262966,48.01743686120881,213079.77704226624,42.074484393871394,5064.346720153833,45.4515752361512,122375.22295773368,24.998692930574343,4895.264856350316,59.580226271650766
306725,55.0,21030.0,0.0064379801648904,0.6612255203601131,0.144661534659363,0.009547895376184,0.0773960378981627,0.0788006703406896,0.0129471052484605,0.0067317374820385,0.0012925321103403,0.0009589863597575,0.0,59.0,52237.0,0.0035938721365663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002359929953793,0.8067081101976167,0.1894620246704376,26.222011873741152,801.9979588621703,1.036608114256734,5.16324695143724,37.27628839932826,1401.3465997580743,0.330707981641505,5.03626049854247,58.27482668786621,52543.573689983015,37.28993645251116,1409.055061193183,59.052302406395086,20723.426310016974,26.09052036712844,794.289497427062,38.48136899138418
440685,36.0,157702.0,0.0069043968506726,0.7612884044763958,0.0218814408681094,0.084572593042044,0.023517513502796,0.0845056874196847,0.0042391130077738,0.0038712896833004,0.0085690267395617,0.0006505344096611,0.0,42.0,299306.0,0.0014097937341205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003783752464594,0.8087002043268413,0.1895116266925787,24.07196402059788,6551.272669943245,56.13803068690344,45.232586390253616,37.22681909743401,8040.063783495021,3.0421611156292245,11.33483154390044,42.29278167183617,302736.7177960226,37.20317636671262,8137.388990981291,42.08258832726023,154271.2822039773,23.9033991369442,6453.947462456977,18.86143858571939
49991,31.0,146211.0,0.0065551449953585,0.5845571863926863,0.1647304315046742,0.0611390692033725,0.0928381353523271,0.0259234524020299,0.0287178720219129,0.0028034120259828,0.0323629780156981,0.0003723180859574,0.0,38.0,554284.0,0.0041132978028372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003214175012708,0.9748277993808078,0.0207374853150841,27.602601515526043,5297.000716318661,171.42671773135794,34.722607735986664,20.224932407070817,27405.975399265975,8.808760132721085,112.72893839441109,39.53066624691206,562032.0898147842,20.33825583548145,27634.232471118863,38.10647101397376,138462.91018521585,27.317007901236853,5068.743644465782,53.13881998210559
438079,25.0,61838.99999999999,0.0161313388510593,0.6553202514409585,0.1808801689444246,0.0340384196975102,0.0331147362382554,0.0336400820120431,0.0367667654450489,0.0066558573956572,0.0028502900252969,0.0006020899497452,0.0,28.0,55388.0,0.0044797340545202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003877748572367,0.7755162288638924,0.2196162622243506,25.28402139284997,2445.773915437651,6.971164995303281,39.4536077830068,40.35180986727068,1372.627403385075,0.5322703953868296,6.149005723111756,26.74164741977654,56476.63853054314,40.31938908972697,1400.7315042611322,30.97698503375369,60750.36146945684,25.12765022897593,2417.669814561594,30.623228298075915
