,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","sweet_gas temperature, C","sweet_gas mass flow, kg/h",sweet_gas molecular weight,"sweet_gas molar flow, kgmol/h",rich_amine H2S mol frac,rich_amine CO2 mol frac
323251,53.0,88876.0,0.0159176365635633,0.648911205037994,0.0963729765284478,0.0231320970666213,0.0826138951664345,0.0695150990109936,0.0432505578479335,0.00393035494736,0.0147539867939104,0.0016021910367413,0.0,12.0,310679.0,0.0040592511481492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002626209281218,0.910000807004826,0.0856773209189029,27.80688239282991,3196.187143328119,47.15650290352927,50.875745336630594,26.79114849197859,11596.330037624886,3.045438957287755,47.07241601954588,30.33967805075656,314313.2725648622,26.85813028584846,11702.723503820136,-17.711152472821368,85241.72743514691,27.588161651699668,3089.7936771330787,0.0042887640849325,0.0068890321709167
280116,60.0,260597.0,0.009289105510236,0.7106517243072981,0.0663266645020033,0.0081677673737531,0.052722863215576,0.064829224205362,0.0428219433161595,0.0044126517754974,0.0390282039664131,0.0017498518277013,0.0,35.0,319823.0,0.0049553020137424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002271736872481,0.8141930776567059,0.1806244466423035,25.76641066804581,10113.82622738289,394.7244728831577,93.94839893835177,36.417628834775925,8782.092910304875,1.995060428189356,43.5179226833066,72.6470719551499,335698.5154428875,36.313817502560894,9244.374139932097,36.05755772088372,244721.4845571123,25.355679801940404,9651.544997755667,0.0429057783023742,0.008479588632177
10579,44.0,156029.0,0.0142661191329632,0.7678117574007728,6.102980438291717e-05,0.0077286042937918,0.0797827014630697,0.0446359144198258,0.0486152275058491,0.0093746854413211,0.0273580261662482,0.0003659343717749,0.0,59.0,19614.0,0.0018892095700637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002960004334438,0.8039375694375016,0.1938772205589908,25.642935306763,6084.677831669657,166.46477533200886,86.80473883229953,37.679530982683865,520.5478807316863,0.15408239832483064,0.9834240379546793,43.26520241119607,22471.84476538689,37.83484421454679,593.9457458304238,54.90988852265736,153171.15523461328,25.480622444206045,6011.279966570925,0.1123718603250347,0.0309594562474897
36023,35.0,292102.0,0.0131187354583409,0.7987975851904205,0.0872992848665926,0.0186856820662899,0.0293193555300079,0.0035875933043689,0.0340895752064048,0.0036507676944017,0.0098121909193161,0.001639229763856,0.0,10.0,325856.0,0.0033201494430916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001146538924418,0.932686636754788,0.0638785599096785,21.84089164680831,13374.087684862718,131.22910173554726,175.45111833436889,24.564647028782662,13265.242509619251,1.5209116879122786,44.04258753078737,35.44647589536106,333657.1256948592,24.72512328936544,13494.659734957479,11.510249783928655,284300.87430513324,21.628604169314546,13144.67045952431,0.0098359037959274,0.0076066012163655
275941,29.0,283402.0,0.025730808579382,0.6023805669049509,0.1827601450719799,0.0029459752070991,0.0900547589149595,0.0411579050074269,0.0429298715606919,0.0091847112827065,0.0027528938598522,0.0001023636109507,0.0,39.0,120760.0,0.0016633765598637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003881504523253,0.8550511019619245,0.1428973710258865,27.903969427996675,10156.332801728791,27.95930620849468,261.330655189782,32.51860680857472,3713.5662272024897,1.4414224108286042,6.177059015830096,29.48502743579008,124413.35012060923,32.719191094029775,3802.458005855492,34.324971836102804,279748.6498793883,27.78746349128564,10067.441023075733,0.0077056176910875,0.0172810468454695
165188,29.0,23162.0,0.0173497088460222,0.4872401913188151,0.1871871170674401,0.0696852272273854,0.0890994229859545,0.0749744784368689,0.0360924368727371,0.0056886482552026,0.032257651393921,0.0004251175956526,0.0,58.0,538494.0,0.0045129332520359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003768047229818,0.8745196866858737,0.1205905753391084,30.93986991609833,748.61336078044,24.14850882088704,12.988223847782807,30.336198902317285,17750.87253791925,6.688612609335904,80.10850292902668,57.27246494181105,540825.5706586203,30.346326963413823,17821.780254020567,58.23589736255377,20830.42934137946,30.736691519283745,677.705644679121,0.0017291877917939,0.0051407498241701
25213,12.0,138775.0,0.0053982190004844,0.5896098535886747,0.1815796018940234,0.0786911605742843,0.0586847741107044,0.0659588592679403,0.0148846935743468,0.0026288648300028,0.0025480094897273,1.596366981143649e-05,0.0,59.0,658758.0,0.0015219194148842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003702013678916,0.8145506424856237,0.1835572367316005,27.222031956349248,5097.892773857839,12.989479165402,27.51954163427151,36.62732493036753,17985.42485022779,6.658228881665904,27.37236726450243,46.09898233310753,661395.266033845,36.62407010954367,18059.03232643429,58.87745743797871,136137.73396615506,27.095940198657537,5024.285297651342,0.0010808778993108,0.0027336474461691
372539,53.0,232283.0,0.0283127947961389,0.5695376146816176,0.1810683601488336,0.0157428359431821,0.0951192646512162,0.0643161121144618,0.0177881927439617,0.0076613995055929,0.0193518354650862,0.0011015899499087,0.0,22.0,324201.0,0.0010884768045923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002280359681585,0.8235510368660901,0.175132450361159,28.30437415490685,8206.611413795608,158.81299380567106,232.3521049304464,35.76161934745922,9065.61296484002,2.0672858293875436,9.867709431639593,57.42568392481803,335218.46983192884,35.80280679862611,9362.91033597937,25.133540958845856,221265.53016807145,27.975312267884288,7909.314042656271,0.0171799880707131,0.012544386381043
270337,31.0,199070.0,0.0203161566237816,0.7684884809066461,0.0370098776820079,0.020494870176403,0.0509597515622024,0.0626858466379618,0.0195780521326117,0.0016591420177565,0.0179332026974451,0.0008746195631832,0.0,20.0,71612.0,0.0010716433209786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003458785973547,0.820159552016881,0.1784229260647855,24.00410424816949,8293.165116343833,148.72301103477483,168.48524141052326,36.09590171541775,1983.9371395842468,0.6862013950792949,2.1260729848768465,36.38937736583574,78503.43848085232,36.095755519322125,2174.8661955234397,40.10090079697403,192178.5615191481,23.71920048816129,8102.236060404654,0.0684399041207149,0.0193222193341184
195087,52.0,206376.0,0.0300623920027577,0.7432090016594772,0.0509600115854073,0.0879318061210207,0.0154812665372429,0.0450747298388777,0.0006935114075688,0.0072282954430018,0.0174049207293698,0.0019540646752757,0.0,27.0,415205.0,0.0031578113756668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269389472413,0.7952845386419283,0.2012882605099916,23.375675777159824,8828.664547172077,153.66220658972753,265.4107744779363,38.46169555628816,10795.285907048825,2.908136375047377,34.08947664085427,51.319990276952296,431745.9078163089,38.46329414332498,11224.881212916996,28.439981341485066,189835.09218369104,22.6019201330242,8399.069241303905,0.0139425612889817,0.0239735973605629
