,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,"sweet_gas temperature, C","rich_amine temperature, C"
488923,13.0,235593.0,0.018966139419848,0.6756047890990124,0.0086637341913226,0.0867093846260128,0.0674347327857468,0.0996188194712197,0.0149750210823522,0.004605539590732,0.0222473237400209,0.0011745159937322,0.0,16.0,435724.0,0.0009508865684421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003738786931961,0.9045832586714584,0.0940919760669033,17.820795581173343,21.12038913411692
111586,13.0,244937.0,0.0184892246963538,0.8746249885313477,0.0089835473953843,0.0357573779232217,0.0156241374265671,0.002160754895776,0.0286345654372721,0.0075578617899152,0.006941432977495,0.0012261089266667,0.0,16.0,301711.0,0.0027213556053312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003540930237533,0.9412384470830696,0.0556861042878455,17.888049972279134,19.30423787873474
57977,10.0,271297.0,0.0223787491113696,0.6871400007334338,0.1799797504741336,0.0056998165281096,0.0309182692435114,0.045465358180099,0.004277751135059,0.0011995014469784,0.0225872934033948,0.0003535097439104,0.0,13.0,523846.0,0.0049258007450143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002102572480065,0.79955464563143,0.195309296375549,13.859313989384134,24.930520008972167
378505,29.0,142451.0,0.0075852726985393,0.7423422809516464,0.1121587554143164,0.0097298979583473,0.0311801650100572,0.0413924226283078,0.0236914290165904,0.0033249240363505,0.0274532388132882,0.0011416134725561,0.0,17.0,437951.0,0.0038838155644313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003126834057426,0.8163366555102239,0.179466845519602,17.514174317777417,27.19752228703124
1555,10.0,165170.0,0.0059553108486518,0.7748569541567103,0.0901800984960631,0.0102047038052219,0.0059842419027405,0.0427572286373553,0.0351911078021215,0.0094822497046872,0.0244175848874333,0.0009705197590146,0.0,14.0,658339.0,0.0048513827784614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002252483080602,0.7617189236816398,0.2332044452318383,13.785750838073398,17.554911609160058
505036,12.0,164936.0,0.0372856305030732,0.7129237884832832,0.0388751704311406,0.0802697549444289,0.0578665413768446,0.0007580524773199,0.0330197880673165,0.0043189551562249,0.0331688707791058,0.0015134477812618,0.0,27.0,373775.0,0.0015265440445611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000170561410213,0.8866243722749642,0.1116785222702616,27.23283276253101,35.51250632359711
350931,31.0,47513.0,0.0090618869389545,0.7298061063773528,0.0439706644074743,0.0493630759213659,0.07437759454642,0.0791680990190754,0.0096807565436601,0.0008275017929536,0.0026944148499706,0.0010498996027727,0.0,24.0,624402.0,0.0017203934515437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000385098243425,0.8978043124292595,0.1000901958757716,23.52899101437441,25.826935030574816
329901,33.0,251205.0,0.024279467579157,0.6947640831858767,0.0654301527342651,0.0760266238334075,0.0524946679674571,0.0100917682701177,0.0427470591899539,0.0029261040562002,0.0304955998688384,0.0007444733147259,0.0,30.0,329766.0,0.0038719510562558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002391036342408,0.7761733463225018,0.2197155989870015,31.050723276325925,50.6184614366664
308156,33.0,156709.0,0.0137572162168254,0.618380374578072,0.1648809171554759,0.0199623793307097,0.088528182109455,0.0480660375516763,0.0245251250299295,0.0042441374259023,0.0164068743453229,0.0012487562566305,0.0,22.0,164131.0,0.0038521506069016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003607406066524,0.7856347923387133,0.2101523164477325,26.567844054779187,44.79008455591662
184782,14.0,244906.00000000003,0.0372176347015504,0.6564717023731026,0.1827544482578318,0.0361736018997247,0.0459099888736804,0.0225252884439873,0.0117213520400158,0.0033613092721043,0.002652707360752,0.0012119667772503,0.0,21.0,101124.0,0.004570037552088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002294471431723,0.8626713731358521,0.1325291421688876,14.25043441587627,26.82771963363922
207089,17.0,141611.0,0.0383088592934189,0.7098704452862138,0.0608037852498146,0.0589720460504389,0.0063091543216085,0.0816377301638139,0.0230974872425566,0.0030733341013998,0.017809958392592,0.0001171998981425,0.0,28.0,166028.0,0.0022374997753783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001200573794968,0.816333272493889,0.1813091703512358,32.81785986665227,41.881125705255954
60163,50.0,242887.00000000003,0.0213652041867186,0.6376699681240554,0.1549773152821127,0.0563189827719763,0.0052255246907365,0.0574287840375397,0.0302212854578548,0.0074432299787697,0.0277514083422454,0.0015982971279905,0.0,30.0,506876.0,0.0048148234359562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032019066422,0.9403072245279952,0.0545577613718287,30.34068576429508,46.98184901567368
400281,27.0,168715.0,0.030618687133046,0.6046591347523572,0.1000788490930712,0.0630828503391295,0.058134600857704,0.0892174257152598,0.0253581060225111,0.0062395422879756,0.0206766104456499,0.0019341933532952,0.0,46.0,311237.0,0.0032219411131875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003844244287961,0.9150059334474716,0.0813877010105445,46.89363977111981,46.09427174188232
401321,24.0,83504.0,0.0134959958231979,0.7760249972077696,0.0867587456235573,0.0037991579181497,0.0036377815602618,0.0515273449435824,0.0301991385932873,0.002919664798543,0.0314576727542392,0.0001795007774114,0.0,30.0,199173.0,0.0028052974541655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002799282583265,0.959655663198126,0.037259111089382,30.60802589488236,36.75342143522119
475857,49.0,201847.0,0.0163733901930209,0.6338680080020778,0.119528404287867,0.0708741598510047,0.074839392651207,0.0313187004463085,0.0469495147830755,0.0027856270214699,0.0017116213168513,0.0017511814471171,0.0,26.0,343137.0,0.0047176054411171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002941220326749,0.9480955086797666,0.0468927638464413,26.654145462339216,44.32296186783845
78199,52.0,33572.0,0.0151927996265575,0.7058997972044254,0.0391170274089888,0.0908204576598381,0.0882685592791557,0.0027097708603292,0.0349733926511854,0.0035366790683524,0.017706461449219,0.0017750547919482,0.0,46.0,545602.0,0.0030853320112346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003300150293822,0.9419221175095148,0.0546625354498681,46.72573133954802,46.25760410252951
