,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"feed_gas molar flow, kgmol/h",feed_gas molecular weight,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,"lean_amine molar flow, kgmol/h",lean_amine molecular weight,"rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h",sweet_gas molecular weight
13167,31.0,157813.0,0.0057790952281615,0.5890781771644108,0.1841571656466007,0.0509657094513477,0.0863681265929975,0.0508070083217938,0.0129601069597226,0.0037173457975156,0.0145838046090482,0.0015834602284012,0.0,5803.727025218085,27.191664824048114,36.0,94762.0,0.0044432020179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001799470639625,0.9644866172413168,0.0308902336767206,4457.674343530652,21.25817022446391,32.575153350579114,98354.3062285751,21.555217535824333,4562.900191803318,27.0633784187603
112063,27.0,104795.0,0.0262331424416604,0.6943380113484071,0.0199309105305804,0.0857989203525156,0.0321144417612041,0.0842731963546378,0.0185558327735362,0.0018498718705165,0.034924198253073,0.0019814743138685,0.0,4009.072223210454,26.139464236461286,43.0,57830.00000000001,0.0048132884693325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001302328604802,0.8080945609468314,0.1869619177233558,1560.7202496851326,37.05340531826054,39.27323774231678,64160.724948716,36.94689111065888,1736.566271747994,25.68705051160448
303484,28.0,62665.0,0.035537125420852,0.7055310049248029,0.0993723295636022,0.0218361496270637,0.0745093282291484,0.0128197013729907,0.0110623133778761,0.0076378445553973,0.0303603472009913,0.001333855727275,0.0,2576.9524515710523,24.3174839961816,32.0,199889.0,0.000987506208163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001180219120224,0.94548821487463,0.0534062570051846,8525.938994011909,23.4448076792937,40.6116263704568,206500.3882269256,23.733475897670075,8700.806789417551,23.3354022845122
462230,19.0,282539.0,0.0255381372396985,0.5130297603725499,0.1910502612245883,0.0540607662203791,0.0946047956542197,0.0421628907459625,0.0443890263366337,0.0049218343892234,0.0286283991958643,0.0016141286208803,0.0,9419.527211119057,29.995029863758297,27.0,610220.0,0.0039505202830143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001212524448111,0.8093312141728746,0.1865970130993,16495.141094838767,36.99392424057132,28.74471933178137,630325.3755620826,36.98977131467498,17040.531832431556,29.57286325501321
428153,53.0,217448.0,0.0273568549553282,0.8073493044259845,0.0137295718789817,0.0156354627272562,0.0356013838301284,0.0654998428851385,0.0190514611661093,0.0018322546067224,0.0124028555786286,0.0015410079457218,0.0,9416.602269174111,23.09198092732777,18.0,89777.0,0.0025261888023006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003726604643605,0.8224028681224863,0.1746982826108525,2510.7250389077703,35.75740019666004,54.74026881327052,95995.04021242783,35.86225512942328,2676.7708797450514,22.83429774456815
125072,34.0,205271.0,0.0168626847601269,0.6987190703461356,0.1312781751571473,0.0219408396774548,0.0713800759835024,0.0142150955753139,0.0196196039864604,0.0005969409878881,0.0238732016829872,0.0015143118429829,0.0,8502.952469443879,24.14114400117603,36.0,584556.0,0.0015640553096952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001679204990024,0.8009696847067795,0.1972983394845227,15376.957721919802,38.01506192390172,46.30618948112891,598472.4689481114,37.976017883057374,15759.221274622214,23.56382974569996
270616,31.0,114941.0,0.0240088608820141,0.7999552574841271,0.0170130205068448,0.0644188743635907,0.0087487041376722,0.0261772361952406,0.0450204523549704,0.002382381544798,0.011456259891936,0.0008189526388056,0.0,4976.299436955643,23.097685630894755,27.0,270119.0,0.0046119710247277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001754154709791,0.7996822895810297,0.1955303239232633,7124.221877795358,37.915579361993466,36.77466122457258,275228.24566485727,37.89761585978711,7262.415838588411,22.70139724656385
370519,25.0,268137.0,0.0297205254684155,0.7908531734441087,0.0149851967853011,0.0694261301633668,0.0570591837229944,0.0050652566052836,0.013812731341873,0.0006471208737008,0.0178230873590617,0.0006075942358943,0.0,11770.684465552138,22.78006863447276,10.0,155651.0,0.002335875390642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002890978517968,0.808137166806922,0.189237859950639,4181.719835423775,37.22176667156525,35.9087824914688,166710.15734826386,37.16690338884436,4485.446516868066,22.41901012385537
302828,13.0,152161.0,0.0087688200186701,0.7425079140450931,0.0422957804224023,0.0487476447738866,0.0728991643160112,0.0384443588546224,0.0227031436117543,0.0010161418097207,0.0209712942464157,0.0016457379014233,0.0,6173.707217410935,24.646617444196146,47.0,629754.0,0.0018067629758954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003983094431423,0.8200141843899458,0.1777807431910165,17468.46947189639,36.05089736185304,41.7105048696497,637559.2721821779,36.03225091120878,17694.128345000183,24.26942745951024
353243,43.0,281270.0,0.023637971685343,0.4445250097625901,0.1888828426986628,0.099323092997019,0.0843417861209736,0.0998081960875536,0.0256091494369005,0.0069130357496791,0.0250743563145037,0.0018845591467742,0.0,8743.3498774304,32.16959219784339,25.0,146981.0,0.0019463981963522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003865811277593,0.8010685825228461,0.1965984381530422,3872.229425447454,37.95771992074454,45.9739674484635,157936.84248019222,37.79594953661939,4178.671112024103,32.03948074400628
