,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","rich_amine H2S molar flow, kgmol/h","rich_amine CO2 molar flow, kgmol/h"
300120,38.0,195823.0,0.0082523392452619,0.6932367554098686,0.1728763282359233,0.0478054274430709,0.0451833552129902,0.0056560722263375,0.0096424271945013,0.0062014862842214,0.0108636728243027,0.0002821359235217,0.0,43.0,539539.0,0.0011306533847144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002061751099399,0.8440578536278471,0.1546053178774984,23.26443695369344,8417.267969552615,91.44244529570231,69.462150803025,33.68607622826919,16016.676930369871,3.3022401269908683,18.10930998319974,45.01653038666677,546245.0731307598,33.715099184362515,16201.79344998383,94.70885443212505,80.86759793055549
266616,25.0,58650.99999999999,0.022725261315142,0.6806435330074742,0.0793885954549143,0.0304891862892045,0.0625236601681544,0.0487380881183982,0.0457200429546382,0.0099087690163383,0.0184563183603194,0.0014065453154162,0.0,49.0,370087.0,0.0049520352527073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126944104328,0.78446715611951,0.2104538645234545,26.786099344858723,2189.605856563709,40.41206277235967,49.75936526757562,39.43313384623716,9385.178500980715,1.1913930787653986,46.475734789807156,49.19840539806387,374046.5817352303,39.40218527987295,9493.041542705936,41.579936381873175,85.89299073809241
250644,50.0,238739.00000000003,0.01824392246838,0.6992593183447102,0.0707057453712562,0.03861219634143,0.0365606977108659,0.0686248027939823,0.0272381626929166,0.0031930110286886,0.0369108461407364,0.0006512971070334,0.0,26.0,324622.0,0.0009656252344194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002434751282499,0.8558475205394809,0.1429433790978497,25.42880155187525,9388.527395322499,346.5384901768374,171.2835658925253,32.50279830377545,9987.509289693764,2.4317101052052568,9.644190999126476,62.99878010508576,343711.0482613233,32.70810045138846,10508.438078577956,348.9432997122219,162.1095288092179
208009,39.0,152631.0,0.0192406901943039,0.5628344559686662,0.1539909660473508,0.077959096645373,0.0252788472444645,0.0985363060747632,0.0317378974596653,0.0098985827224408,0.0201334922049289,0.0003896654380429,0.0,16.0,625995.0,0.0035333829554035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001736361132912,0.8946901205684186,0.1016028603628865,28.838223383920067,5292.663073173421,106.55979072705212,101.83449049376219,28.38689322523793,22052.254716040807,3.829067798200861,77.91906094187503,28.5396672200356,634730.4732750031,28.46653657657193,22297.425314373817,110.37567757687414,170.6637903188586
348198,14.0,175998.0,0.0132558361228139,0.5875441522067273,0.1704490819765386,0.0509211639856013,0.0774188154010171,0.0805708987394147,0.0040374080400308,0.0001016895055707,0.0137214416453506,0.0019795123769347,0.0,35.0,661325.0,0.0028589382802703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003716709693853,0.8877049653840653,0.109064425366279,27.36485557438341,6431.534035383471,88.24991895660055,85.25536119134327,29.12726906497455,22704.66889720332,8.438666298595829,64.91124705107703,28.797432453585884,668187.808888201,29.169385140829668,22907.16124670414,96.63125096042276,123.66475185779926
48449,51.0,280172.0,0.0202088999468617,0.678842908926152,0.0651119220676706,0.0911630913188606,0.0720555606129276,0.02493819988466,0.0383807982009274,0.0082754313961788,0.0006347093727056,0.0003884782730554,0.0,48.0,246673.0,0.0024900704050926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002530879998781,0.8529286810913213,0.1443281605037079,26.79026844799182,10457.976579962247,6.637775754837694,211.34420235107996,32.682648504751526,7547.521736622347,1.9101871803582338,18.793860508156413,55.70395071357234,254331.8949391561,32.95315152785595,7717.98396047687,8.372743343040698,184.97840148849602
9411,44.0,84129.0,0.0328322296164807,0.5898702342585828,0.1690697900025222,0.0757527543249467,0.0387101962950569,0.0103708745246097,0.0469305562730258,0.0059611423418912,0.0287348298705995,0.0017673924922844,0.0,51.0,67630.0,0.0047956527259544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002470926872867,0.7875436391197066,0.2074136154670521,27.012473695236444,3114.4500481211335,89.49319227324119,102.25433910897242,39.123482565864265,1728.6293439277829,0.42713166991376106,8.289906025372037,58.49923723797059,71990.8760484177,38.99475081691045,1846.168382673654,85.53708507640359,39.51703412476207
138536,22.0,288168.0,0.0095030160705624,0.8066200588234573,0.0039272341847911,0.066452097194135,0.053354408475874,0.0377209254420577,0.0032130757694972,0.0061771091383849,0.0123912012403353,0.0006408736609047,0.0,39.0,638114.0,0.0049099780313151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003743979158522,0.952960912238252,0.0417547118145806,22.812008088624115,12632.294310981923,156.52930093451974,120.04489584533518,22.37235345657229,28522.43512237834,10.67874026484804,140.0445298504879,37.16607151062692,648710.1825129441,22.512943271677504,28814.987657746933,166.91662611026257,245.48329485737722
83178,57.0,277041.0,0.0338561002770384,0.5979463697031817,0.1714304507700214,0.0330493476413714,0.0429186270427601,0.0668678801704261,0.0282284917741734,0.0027800700964362,0.0210589739284913,0.0018636885960998,0.0,46.0,369068.0,0.0028396789512531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003634175347549,0.8796216915514278,0.1171752119625641,27.064669251901023,10236.260322321901,215.56513925302687,346.5598559343997,29.947029559147,12324.026971391962,4.478767500196164,34.996279985337246,66.07006518168731,383984.49065492,30.181990430748225,12722.305095681551,219.8931494969514,191.91859491399103
36844,14.0,129089.0,0.0265812357925233,0.7377430844698413,0.1425025749522726,0.01464615159466,0.0114462386537581,0.0189080865291257,0.044281558438622,0.0027522534615671,0.000127276373942,0.0010115397336874,0.0,38.0,678074.0,0.0015747727016551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003366485867575,0.8835441695627567,0.1145444091488306,23.11647583343386,5584.285465057601,0.7107476050495467,148.43720867945672,29.647617136574944,22871.11294227725,7.6995278495888035,36.01680431796887,36.65434401859369,683923.1731738877,29.70029488216141,23027.487635641814,8.37383578332021,145.59746678443665
152061,23.0,295127.0,0.0383927979422622,0.666150541461992,0.0764577962580092,0.066826996269101,0.069080103774712,0.0378772203261353,0.0073594201820911,0.003823270488935,0.0339662376390074,6.56156577544249e-05,0.0,51.0,193254.0,0.0013153867344743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001760374994952,0.8878053135588629,0.1107032622071674,25.804821920038272,11436.893496669489,388.46824235989413,439.09434110480424,29.24976787416285,6607.026791850432,1.1630844755351435,8.69079539631635,34.36759314155802,212012.3158541032,29.84424510775912,7103.959744620335,387.5549330289023,144.49153275721332
205792,16.0,226065.0,0.0281102588791159,0.5949923212660176,0.1836133482282067,0.0445634442984895,0.0635244570413151,0.0431605417652002,0.0042848025717507,0.00651960892881,0.0304165523661286,0.0008146646549656,0.0,43.0,454405.0,0.0034184641318437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003242436247161,0.7355587460315652,0.2606985462118748,26.3004918505785,8595.466627937893,261.44446079998374,241.62079209813555,44.47861251440626,10216.258428763305,3.312556663978623,34.92391300037323,43.16150925910864,472612.6811875529,44.16981326015595,10699.902179887195,264.400761279514,221.13095824281393
241721,12.0,189424.0,0.0247568893346526,0.7320101644147853,0.0271428491712274,0.039443098073707,0.0436399344449552,0.0792244371171677,0.0305256051075464,0.0042838123860441,0.0171003915871271,0.0018728183627867,0.0,41.0,82265.0,0.0032513089100983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000115803404192,0.8327979606169226,0.163834927068787,25.657845273803023,7382.693206642892,126.2469448012165,182.77251870854963,34.67331062538219,2372.574136020887,0.274752161649112,7.713971428313487,17.28862354011318,88801.80731359946,34.718253689310274,2557.784389395757,126.50256443926959,51.699631773908514
282462,32.0,177410.0,0.0296387071406553,0.7079901022230258,0.0900992042432444,0.0933928690405676,0.0364709029144272,0.0160008012168533,0.011128093777585,0.0022567142660587,0.0128253859055185,0.0001972192720638,0.0,19.0,538715.0,0.0039247083533649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002480162187589,0.7966483988644623,0.1991788765634138,23.94627773903633,7408.667097800876,95.01901457481401,219.5833144143288,38.26792629966297,14077.454727531043,3.49143709127185,55.249904163257284,31.798764242033823,551699.6171197924,38.28217810669514,14411.39570434489,98.4754580116599,253.6328410207739
368057,10.0,25390.0,0.0362234458503718,0.7451120707057378,0.0594565834167567,0.0375918156186138,0.074054828046715,0.0374591007366091,0.0019764732382301,0.0061454976438711,0.0010455726556979,0.0009346120873962,0.0,30.0,55592.0,0.0012470837703352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002669790034492,0.8079874390414945,0.190498498184721,24.11339058062397,1052.941929303042,1.100927289317052,38.14118495969475,37.32062032253377,1489.5786704390382,0.3976862289929987,1.8576293845420102,27.892887563191263,56825.77051022721,37.38834756283923,1519.8791659545577,1.4907046835738194,26.54516515105686
477669,37.0,2029.0,0.0365893737489094,0.7934202534039322,0.0240610344533455,0.0152081974562334,0.062452621338364,0.0084460373318313,0.0496795876572252,0.0077257040345613,0.0017872074162076,0.0006299831593897,0.0,18.0,238495.00000000003,0.0009568301027262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001610560582182,0.8876417685828601,0.1112403452561953,24.06801663074697,84.30275045630249,0.15066650082220243,3.0845848445066943,29.29453179984626,8141.280482975722,1.3112025434368335,7.789822240848468,18.22641332947194,239018.9163071832,29.280164263748325,8163.168558555927,1.461801314283578,10.60468808436719
